SPIELER;VEREIN;POSITION;MARKTWERT;GESAMTPUNKTE;PUNKTE PRO SPIEL;PREIS-LEISTUNG;HISTORISCHE PUNKTEAUSBEUTE;Positionsgruppe;Datum
Fujita;Mittelfeld;FC St. Pauli;2.790.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Führich;Mittelfeld;VfB Stuttgart;6.760.000;6;6.0;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
García;Mittelfeld;Bayer 04 Leverkusen;7.350.000;5;5.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Gebel;Mittelfeld;RB Leipzig;200.000;0;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Geiger;Mittelfeld;TSG Hoffenheim;350.000;0;1.8;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Gerhardt;Mittelfeld;VfL Wolfsburg;620.000;0;1.9;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Gleiber;Mittelfeld;1. FSV Mainz 05;160.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Goretzka;Mittelfeld;FC Bayern München;8.790.000;5;5.0;Durchschnittlich;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Grifo;Mittelfeld;Sport-Club Freiburg;12.000.000;10;10.0;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Groß;Mittelfeld;Borussia Dortmund;6.200.000;4;4.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Götze;Mittelfeld;Eintracht Frankfurt;2.470.000;1;1.0;Schlecht;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Haberer;Mittelfeld;1.FC Union Berlin;1.790.000;2;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Haidara;Mittelfeld;RB Leipzig;860.000;0;2.7;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Hansen-Aarøen;Mittelfeld;SV Werder Bremen;280.000;0;-1.5;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Harchaoui;Mittelfeld;1. FC Köln;170.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Huseinbašić;Mittelfeld;1. FC Köln;430.000;0;1.6;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Höfler;Mittelfeld;Sport-Club Freiburg;550.000;0;2.5;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Højlund;Mittelfeld;Eintracht Frankfurt;1.220.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Ibrahimović;Mittelfeld;1.FC Heidenheim;2.730.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Irvine;Mittelfeld;FC St. Pauli;2.510.000;0;3.9;Gut;Gering bis mittel;Mittelfeld;29.08.2025
J. Hofmann;Mittelfeld;Bayer 04 Leverkusen;1.630.000;0;3.8;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Jakić;Mittelfeld;FC Augsburg;3.110.000;6;6.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Janeš;Mittelfeld;1.FC Heidenheim;190.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Jeong;Mittelfeld;1.FC Union Berlin;1.570.000;0;3.5;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Jóhannesson;Mittelfeld;1. FC Köln;3.580.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Kainz;Mittelfeld;1. FC Köln;2.520.000;2;2.0;Schlecht;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Kamiński;Mittelfeld;1. FC Köln;4.700.000;8;8.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Kampl;Mittelfeld;RB Leipzig;790.000;0;3.3;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Karazor;Mittelfeld;VfB Stuttgart;6.160.000;5;5.0;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Karl;Mittelfeld;FC Bayern München;5.620.000;4;4.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Kawasaki;Mittelfeld;1. FSV Mainz 05;1.350.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Keitel;Mittelfeld;VfB Stuttgart;490.000;0;2.6;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Kemlein;Mittelfeld;1.FC Union Berlin;630.000;0;2.4;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Kerber;Mittelfeld;1.FC Heidenheim;550.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Khedira;Mittelfeld;1.FC Union Berlin;3.380.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Kimmich;Mittelfeld;FC Bayern München;14.200.000;9;9.0;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Knauff;Mittelfeld;Eintracht Frankfurt;5.590.000;11;11.0;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Kramarić;Mittelfeld;TSG Hoffenheim;8.280.000;3;3.0;Schlecht;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Krauß;Mittelfeld;1. FC Köln;2.740.000;5;5.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Král;Mittelfeld;1.FC Union Berlin;900.000;2;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Kujović;Mittelfeld;1. FC Köln;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Kyereh;Mittelfeld;Sport-Club Freiburg;180.000;0;1.7;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Kömür;Mittelfeld;FC Augsburg;4.450.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Kücüksahin;Mittelfeld;FC Augsburg;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Larsson;Mittelfeld;Eintracht Frankfurt;6.370.000;4;4.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Lee;Mittelfeld;1. FSV Mainz 05;6.510.000;3;3.0;Schlecht;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Leweling;Mittelfeld;VfB Stuttgart;6.360.000;4;4.0;Durchschnittlich;Über dem Mittel;Mittelfeld;29.08.2025
Lynen;Mittelfeld;SV Werder Bremen;2.630.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
M. Eggestein;Mittelfeld;Sport-Club Freiburg;4.180.000;4;4.0;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Maier;Mittelfeld;FC Augsburg;610.000;0;2.1;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Maina;Mittelfeld;1. FC Köln;1.790.000;0;1.9;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Majer;Mittelfeld;VfL Wolfsburg;4.670.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Maksimović;Mittelfeld;RB Leipzig;2.850.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Maloney;Mittelfeld;1. FSV Mainz 05;430.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Maluze;Mittelfeld;Eintracht Frankfurt;200.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Manzambi;Mittelfeld;Sport-Club Freiburg;4.490.000;6;6.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Martel;Mittelfeld;1. FC Köln;4.960.000;6;6.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Masanka Bungi;Mittelfeld;RB Leipzig;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Massengo;Mittelfeld;FC Augsburg;3.430.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Maza;Mittelfeld;Bayer 04 Leverkusen;5.580.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Meffert;Mittelfeld;Hamburger SV;750.000;0;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Metcalfe;Mittelfeld;FC St. Pauli;670.000;3;3.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Musiala;Mittelfeld;FC Bayern München;5.880.000;0;8.0;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Nartey;Mittelfeld;VfB Stuttgart;330.000;0;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Nebel;Mittelfeld;1. FSV Mainz 05;6.730.000;-4;-4.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Neuhaus;Mittelfeld;Borussia Mönchengladbach;1.740.000;3;3.0;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Niehues;Mittelfeld;1.FC Heidenheim;220.000;0;1.8;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;1.100.000;0;2.5;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Opitz;Mittelfeld;SV Werder Bremen;300.000;0;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Osterhage;Mittelfeld;Sport-Club Freiburg;2.020.000;0;2.7;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Ouédraogo;Mittelfeld;RB Leipzig;1.820.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
P. Schulz;Mittelfeld;1. FSV Mainz 05;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Palacios;Mittelfeld;Bayer 04 Leverkusen;3.920.000;0;4.5;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Paredes;Mittelfeld;VfL Wolfsburg;490.000;0;3.5;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Pavlović;Mittelfeld;FC Bayern München;7.210.000;3;3.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Pherai;Mittelfeld;Hamburger SV;420.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Poller;Mittelfeld;TSG Hoffenheim;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Preu;Mittelfeld;1.FC Union Berlin;200.000;0;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Prömel;Mittelfeld;TSG Hoffenheim;1.450.000;0;1.5;Schlecht;Über dem Mittel;Mittelfeld;29.08.2025
Reinheimer;Mittelfeld;FC Augsburg;190.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Reitz;Mittelfeld;Borussia Mönchengladbach;6.960.000;8;8.0;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Remberg;Mittelfeld;Hamburger SV;3.020.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Rexhbeçaj;Mittelfeld;FC Augsburg;1.730.000;3;3.0;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Rothweiler;Mittelfeld;1.FC Heidenheim;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Röhl;Mittelfeld;Sport-Club Freiburg;1.690.000;2;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Sabitzer;Mittelfeld;Borussia Dortmund;5.320.000;4;4.0;Durchschnittlich;Über dem Mittel;Mittelfeld;29.08.2025
Sakar;Mittelfeld;RB Leipzig;170.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Salifou;Mittelfeld;SV Werder Bremen;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Sander;Mittelfeld;Borussia Mönchengladbach;3.410.000;5;5.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Sands;Mittelfeld;FC St. Pauli;1.520.000;2;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Sano;Mittelfeld;1. FSV Mainz 05;4.250.000;3;3.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Santos Daiber;Mittelfeld;FC Bayern München;290.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Schlager;Mittelfeld;RB Leipzig;4.310.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Schmid;Mittelfeld;SV Werder Bremen;4.530.000;1;1.0;Schlecht;Über dem Mittel;Mittelfeld;29.08.2025
Schmitz;Mittelfeld;FC St. Pauli;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Schäfer;Mittelfeld;1.FC Union Berlin;2.050.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Schöppner;Mittelfeld;1.FC Heidenheim;2.360.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Seiwald;Mittelfeld;RB Leipzig;3.400.000;2;2.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Silas;Mittelfeld;VfB Stuttgart;500.000;0;3.2;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Skhiri;Mittelfeld;Eintracht Frankfurt;2.730.000;0;3.3;Gut;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Skov;Mittelfeld;1.FC Union Berlin;2.550.000;3;3.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Stage;Mittelfeld;SV Werder Bremen;3.540.000;0;6.0;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Stiller;Mittelfeld;VfB Stuttgart;9.230.000;4;4.0;Schlecht;Über dem Mittel;Mittelfeld;29.08.2025
Stöger;Mittelfeld;Borussia Mönchengladbach;6.350.000;3;3.0;Schlecht;Deutlich über dem Mittel;Mittelfeld;29.08.2025
Suzuki;Mittelfeld;Sport-Club Freiburg;3.480.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Svanberg;Mittelfeld;VfL Wolfsburg;3.570.000;11;11.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Swider;Mittelfeld;Borussia Mönchengladbach;160.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Tella;Mittelfeld;Bayer 04 Leverkusen;4.330.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Tillman;Mittelfeld;Bayer 04 Leverkusen;11.710.000;0;1.7;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Tohumcu;Mittelfeld;TSG Hoffenheim;1.310.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Tousart;Mittelfeld;1.FC Union Berlin;260.000;0;2.1;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Veratschnig;Mittelfeld;1. FSV Mainz 05;260.000;0;1.4;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Vermeeren;Mittelfeld;RB Leipzig;1.170.000;0;2.0;Durchschnittlich;Gering bis mittel;Mittelfeld;29.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;170.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;4.300.000;4;4.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Weigl;Mittelfeld;Borussia Mönchengladbach;1.910.000;0;3.8;Gut;Über dem Mittel;Mittelfeld;29.08.2025
Weißhaupt;Mittelfeld;Sport-Club Freiburg;1.330.000;0;3.3;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Xavi Simons;Mittelfeld;RB Leipzig;8.410.000;1;1.0;Schlecht;Über dem Mittel;Mittelfeld;29.08.2025
Yalçınkaya;Mittelfeld;Hamburger SV;180.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Özcan;Mittelfeld;Borussia Dortmund;830.000;0;2.4;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Öztunali;Mittelfeld;Hamburger SV;230.000;0;5.0;Gut;Gering bis mittel;Mittelfeld;29.08.2025
Čović;Mittelfeld;SV Werder Bremen;1.430.000;1;1.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Đurić;Mittelfeld;TSG Hoffenheim;230.000;0;0.0;Schlecht;Gering bis mittel;Mittelfeld;29.08.2025
Ache;Stürmer;1. FC Köln;3.990.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Adamu;Stürmer;Sport-Club Freiburg;1.600.000;0;2.1;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Adeyemi;Stürmer;Borussia Dortmund;8.590.000;5;5.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Afolayan;Stürmer;FC St. Pauli;1.980.000;0;3.0;Gut;Gering bis mittel;Sturm;29.08.2025
Aigbekaen;Stürmer;FC St. Pauli;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Amoura;Stürmer;VfL Wolfsburg;8.390.000;9;9.0;Gut;Gering bis mittel;Sturm;29.08.2025
Ansah;Stürmer;1.FC Union Berlin;4.620.000;15;15.0;Gut;Gering bis mittel;Sturm;29.08.2025
Asllani;Stürmer;TSG Hoffenheim;8.580.000;11;11.0;Gut;Gering bis mittel;Sturm;29.08.2025
Awusi;Stürmer;Eintracht Frankfurt;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Bahoya;Stürmer;Eintracht Frankfurt;8.760.000;17;17.0;Gut;Gering bis mittel;Sturm;29.08.2025
Bakayoko;Stürmer;RB Leipzig;10.290.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Baldé;Stürmer;Hamburger SV;410.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Batshuayi;Stürmer;Eintracht Frankfurt;1.220.000;0;3.8;Gut;Gering bis mittel;Sturm;29.08.2025
Bebou;Stürmer;TSG Hoffenheim;710.000;0;0.0;Schlecht;Deutlich über dem Mittel;Sturm;29.08.2025
Beier;Stürmer;Borussia Dortmund;4.740.000;0;4.0;Durchschnittlich;Über dem Mittel;Sturm;29.08.2025
Berisha;Stürmer;TSG Hoffenheim;470.000;0;2.7;Gut;Gering bis mittel;Sturm;29.08.2025
Bobzien;Stürmer;1. FSV Mainz 05;830.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Boniface;Stürmer;Bayer 04 Leverkusen;4.580.000;0;4.9;Gut;Über dem Mittel;Sturm;29.08.2025
Breunig;Stürmer;1.FC Heidenheim;370.000;0;2.7;Gut;Gering bis mittel;Sturm;29.08.2025
Burcu;Stürmer;1.FC Union Berlin;230.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Burkardt;Stürmer;Eintracht Frankfurt;10.180.000;0;0.0;Schlecht;Über dem Mittel;Sturm;29.08.2025
Burke;Stürmer;1.FC Union Berlin;2.450.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Bülter;Stürmer;1. FC Köln;6.280.000;11;11.0;Gut;Über dem Mittel;Sturm;29.08.2025
Campbell;Stürmer;Borussia Dortmund;930.000;0;1.5;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Ceesay;Stürmer;FC St. Pauli;970.000;3;3.0;Gut;Gering bis mittel;Sturm;29.08.2025
Conteh;Stürmer;1.FC Heidenheim;1.300.000;0;2.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Demirović;Stürmer;VfB Stuttgart;6.070.000;2;2.0;Schlecht;Deutlich über dem Mittel;Sturm;29.08.2025
Diehl;Stürmer;VfB Stuttgart;440.000;0;2.4;Gut;Gering bis mittel;Sturm;29.08.2025
Dinkçi;Stürmer;Sport-Club Freiburg;3.520.000;-2;-2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Diomande;Stürmer;RB Leipzig;6.690.000;2;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Dompé;Stürmer;Hamburger SV;5.210.000;4;4.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Dong;Stürmer;FC Augsburg;260.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Duranville;Stürmer;Borussia Dortmund;610.000;0;1.3;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Essende;Stürmer;FC Augsburg;1.270.000;0;2.4;Gut;Gering bis mittel;Sturm;29.08.2025
Gaul Souza;Stürmer;Eintracht Frankfurt;200.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Glatzel;Stürmer;Hamburger SV;2.940.000;0;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Gnabry;Stürmer;FC Bayern München;11.810.000;9;9.0;Gut;Deutlich über dem Mittel;Sturm;29.08.2025
Gomis;Stürmer;RB Leipzig;530.000;0;2.4;Gut;Gering bis mittel;Sturm;29.08.2025
Grüll;Stürmer;SV Werder Bremen;3.600.000;4;4.0;Gut;Gering bis mittel;Sturm;29.08.2025
Guirassy;Stürmer;Borussia Dortmund;17.710.000;7;7.0;Schlecht;Deutlich über dem Mittel;Sturm;29.08.2025
Hack;Stürmer;Borussia Mönchengladbach;7.330.000;6;6.0;Gut;Über dem Mittel;Sturm;29.08.2025
Hennrich;Stürmer;TSG Hoffenheim;190.000;0;1.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Hložek;Stürmer;TSG Hoffenheim;1.820.000;0;5.0;Gut;Gering bis mittel;Sturm;29.08.2025
Hollerbach;Stürmer;1. FSV Mainz 05;4.850.000;2;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Honorat;Stürmer;Borussia Mönchengladbach;7.850.000;5;5.0;Schlecht;Über dem Mittel;Sturm;29.08.2025
Honsak;Stürmer;1.FC Heidenheim;2.330.000;2;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Hountondji;Stürmer;FC St. Pauli;3.750.000;7;7.0;Gut;Gering bis mittel;Sturm;29.08.2025
Hämmerle;Stürmer;FC Augsburg;200.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Höler;Stürmer;Sport-Club Freiburg;4.720.000;3;3.0;Schlecht;Deutlich über dem Mittel;Sturm;29.08.2025
Ilić;Stürmer;1.FC Union Berlin;4.920.000;4;4.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Irié;Stürmer;Sport-Club Freiburg;1.440.000;2;2.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
İnanoğlu;Stürmer;Eintracht Frankfurt;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Jatta;Stürmer;Hamburger SV;660.000;0;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Jones;Stürmer;FC St. Pauli;270.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Jovanović;Stürmer;VfB Stuttgart;1.760.000;2;2.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Kabadayi;Stürmer;FC Augsburg;160.000;0;3.2;Gut;Gering bis mittel;Sturm;29.08.2025
Kane;Stürmer;FC Bayern München;21.260.000;21;21.0;Gut;Über dem Mittel;Sturm;29.08.2025
Kastanaras;Stürmer;VfB Stuttgart;190.000;0;0.7;Schlecht;Gering bis mittel;Sturm;29.08.2025
Kaufmann;Stürmer;1.FC Heidenheim;920.000;2;2.0;Gut;Gering bis mittel;Sturm;29.08.2025
Kleindienst;Stürmer;Borussia Mönchengladbach;5.310.000;0;6.6;Gut;Über dem Mittel;Sturm;29.08.2025
Kofane;Stürmer;Bayer 04 Leverkusen;2.920.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Kusi-Asare;Stürmer;FC Bayern München;1.690.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Königsdörffer;Stürmer;Hamburger SV;4.200.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Lemperle;Stürmer;TSG Hoffenheim;5.460.000;9;9.0;Gut;Gering bis mittel;Sturm;29.08.2025
Ljubičić;Stürmer;1.FC Union Berlin;520.000;0;1.9;Gut;Gering bis mittel;Sturm;29.08.2025
M. El Mala;Stürmer;1. FC Köln;540.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
M. Philipp;Stürmer;Sport-Club Freiburg;270.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Matanović;Stürmer;Sport-Club Freiburg;2.680.000;0;2.1;Schlecht;Gering bis mittel;Sturm;29.08.2025
Michaelis;Stürmer;Borussia Mönchengladbach;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Milošević;Stürmer;VfB Stuttgart;190.000;0;1.3;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Moerstedt;Stürmer;TSG Hoffenheim;1.640.000;0;2.4;Gut;Gering bis mittel;Sturm;29.08.2025
Mokwa;Stürmer;TSG Hoffenheim;230.000;0;1.5;Gut;Gering bis mittel;Sturm;29.08.2025
Mounié;Stürmer;FC Augsburg;1.390.000;0;2.4;Gut;Gering bis mittel;Sturm;29.08.2025
Ngankam;Stürmer;Eintracht Frankfurt;180.000;0;0.4;Schlecht;Gering bis mittel;Sturm;29.08.2025
Ngoumou;Stürmer;Borussia Mönchengladbach;370.000;0;3.3;Gut;Gering bis mittel;Sturm;29.08.2025
Njinmah;Stürmer;SV Werder Bremen;4.180.000;8;8.0;Gut;Gering bis mittel;Sturm;29.08.2025
Nusa;Stürmer;RB Leipzig;8.410.000;2;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Olise;Stürmer;FC Bayern München;20.110.000;15;15.0;Gut;Gering bis mittel;Sturm;29.08.2025
Openda;Stürmer;RB Leipzig;9.410.000;2;2.0;Schlecht;Über dem Mittel;Sturm;29.08.2025
Pejčinović;Stürmer;VfL Wolfsburg;3.780.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Pereira Lage;Stürmer;FC St. Pauli;2.610.000;4;4.0;Gut;Gering bis mittel;Sturm;29.08.2025
Philippe;Stürmer;Hamburger SV;2.000.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Pieringer;Stürmer;1.FC Heidenheim;1.510.000;0;4.5;Gut;Über dem Mittel;Sturm;29.08.2025
Poulsen;Stürmer;Hamburger SV;4.090.000;4;4.0;Gut;Über dem Mittel;Sturm;29.08.2025
Ranos;Stürmer;Borussia Mönchengladbach;640.000;0;0.5;Schlecht;Gering bis mittel;Sturm;29.08.2025
Reyna;Stürmer;Borussia Mönchengladbach;2.850.000;0;2.4;Schlecht;Gering bis mittel;Sturm;29.08.2025
Rondić;Stürmer;1. FC Köln;180.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Røssing-Lelesiit;Stürmer;Hamburger SV;1.800.000;2;2.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
S. Banks;Stürmer;FC St. Pauli;310.000;0;1.3;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
S. El Mala;Stürmer;1. FC Köln;3.890.000;2;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Saad;Stürmer;FC Augsburg;2.540.000;2;2.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Sahiti;Stürmer;Hamburger SV;1.530.000;2;2.0;Durchschnittlich;Gering bis mittel;Sturm;29.08.2025
Sarco;Stürmer;Bayer 04 Leverkusen;160.000;0;0.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Scherhant;Stürmer;Sport-Club Freiburg;1.240.000;1;1.0;Schlecht;Gering bis mittel;Sturm;29.08.2025
Schick;Stürmer;Bayer 04 Leverkusen;12.040.000;3;3.0;Schlecht;Deutlich über dem Mittel;Sturm;29.08.2025
Schimmer;Stürmer;1.FC Heidenheim;460.000;0;1.8;Gut;Gering bis mittel;Sturm;29.08.2025
Scienza;Stürmer;1.FC Heidenheim;5.700.000;10;10.0;Gut;Gering bis mittel;Sturm;29.08.2025
