x, y
2024-8-4 3:49:33, 1512038519.6006126
2024-8-5 0:55:39, 1507223106.6169555
2024-8-5 22:1:45, 1543579443.2320142
2024-8-6 22:8:42, 1552969491.3861074
2024-8-8 5:47:49, 1551043323.988325
2024-8-9 1:23:28, 1554414114.1790447
2024-8-9 20:59:8, 1545505610.6297965
2024-8-11 3:7:49, 1567415708.2938843
2024-8-12 15:18:15, 1584991959.622354
2024-8-13 13:54:46, 1586436582.4152913
2024-8-15 6:36:31, 1573675755.0920758
2024-8-16 5:13:2, 1605938990.1199462
2024-8-16 21:47:49, 1616532894.275353
2024-8-19 4:3:29, 1620144451.2576966
2024-8-21 13:20:0, 1665168524.6303797
2024-8-22 17:58:15, 1669983948.635634
2024-8-24 15:11:18, 1671428571.4285712
2024-8-25 0:13:55, 1709470297.6281915
2024-8-26 22:57:23, 1738362753.4869394
2024-8-28 2:5:13, 1736195819.2975333
2024-8-28 23:11:19, 1711637231.8175974
2024-8-29 8:13:56, 1724879614.7672553
