Spieler;Marktwert;Besitzer;TM_Stand
Svensson;5.620.000;Thomas;15.08.2025
Kane;18.650.000;Thomas;15.08.2025
M. Eggestein;3.760.000;Thomas;15.08.2025
Wahl;2.920.000;Thomas;15.08.2025
Laimer;5.240.000;Thomas;15.08.2025
Thielmann;2.280.000;Thomas;15.08.2025
Ostrzinski;160.000;Thomas;15.08.2025
Grimaldo;8.440.000;Thomas;15.08.2025
Klostermann;2.500.000;Pascal;15.08.2025
André Silva;4.190.000;Andreas;15.08.2025
Mainka;4.320.000;Christoph;15.08.2025
Theate;4.800.000;Christoph;15.08.2025
Upamecano;6.470.000;Christoph;15.08.2025
Mwene;2.800.000;Christoph;15.08.2025
Remberg;2.720.000;Christoph;15.08.2025
Gregoritsch;1.620.000;Nico;15.08.2025
Muheim;2.950.000;Nico;15.08.2025
Wahi;3.130.000;Nico;15.08.2025
Olise;18.090.000;Nico;15.08.2025
Saliakas;2.650.000;Nico;15.08.2025
Schlager;4.720.000;Computer;15.08.2025
Kimmich;16.600.000;Computer;15.08.2025
Raab;180.000;Computer;15.08.2025
Vasilj;2.690.000;Computer;15.08.2025
Maier;570.000;Alfons;15.08.2025
Martel;3.590.000;Alfons;15.08.2025
Giannoulis;3.630.000;Alfons;15.08.2025
Ginter;4.770.000;Alfons;15.08.2025
Kristensen;5.760.000;Alfons;15.08.2025
Peretz;1.570.000;Alfons;15.08.2025
Heuer Fernandes;1.740.000;Thomas;15.08.2025
Čović;1.220.000;Thomas;15.08.2025
Nusa;6.740.000;Thomas;15.08.2025
Ceesay;330.000;Thomas;15.08.2025
Zentner;3.130.000;Nico;15.08.2025
Hendriks;680.000;Nico;15.08.2025
Höler;3.920.000;Nico;15.08.2025
Dorsch;2.070.000;Nico;15.08.2025
Musah;160.000;Computer;15.08.2025
N. Banks;1.220.000;Computer;15.08.2025
Ullrich;1.750.000;Computer;15.08.2025
Zetterer;2.290.000;Computer;15.08.2025
Hämmerle;170.000;Computer;15.08.2025
D. Nemeth;1.790.000;Computer;15.08.2025
Kilian;170.000;Computer;15.08.2025
Doekhi;3.020.000;Nico;15.08.2025
Schäfer;1.580.000;Nico;15.08.2025
Knauff;4.170.000;Nico;15.08.2025
Campbell;1.350.000;Computer;15.08.2025
Chandler;170.000;Computer;15.08.2025
Vidić;170.000;Computer;15.08.2025
Drljača;160.000;Computer;15.08.2025
Robatsch;280.000;Computer;15.08.2025
Gendrey;470.000;Computer;15.08.2025
Widmer;450.000;Computer;15.08.2025
Pedersen;200.000;Computer;15.08.2025
Süle;2.380.000;Computer;15.08.2025
Poku;6.060.000;Computer;15.08.2025
Majer;5.200.000;Computer;15.08.2025
Akpoguma;1.800.000;Alfons;15.08.2025
Mané;1.010.000;Alfons;15.08.2025
Undav;9.820.000;Alfons;15.08.2025
Dinkçi;3.330.000;Alfons;15.08.2025
Tietz;4.650.000;Alfons;15.08.2025
Nordin;710.000;Alfons;15.08.2025
Baumgartner;2.630.000;Alfons;15.08.2025
Seiwald;2.560.000;Alfons;15.08.2025
Coulibaly;290.000;Alfons;15.08.2025
Deman;330.000;Alfons;15.08.2025
Querfeld;3.100.000;Alfons;15.08.2025
Gulácsi;2.430.000;Alfons;15.08.2025
Jóhannesson;3.600.000;Dominik;15.08.2025
Skov Olsen;2.820.000;Dominik;15.08.2025
Al-Dakhil;830.000;Dominik;15.08.2025
Sieb;1.730.000;Dominik;15.08.2025
Scienza;3.860.000;Dominik;15.08.2025
Mets;360.000;Dominik;15.08.2025
Malatini;450.000;Dominik;15.08.2025
Mæhle;2.660.000;Dominik;15.08.2025
Zesiger;1.760.000;Dominik;15.08.2025
Topp;2.780.000;Dominik;15.08.2025
Chabot;4.410.000;Dominik;15.08.2025
Netz;1.220.000;Dominik;15.08.2025
N. Schlotterbeck;3.880.000;Dominik;15.08.2025
Ritzka;370.000;Dominik;15.08.2025
Haberer;1.410.000;Dominik;15.08.2025
Götze;3.500.000;Dominik;15.08.2025
Groß;6.140.000;Dominik;15.08.2025
Neuer;2.120.000;Dominik;15.08.2025
Svensson;5.660.000;Thomas;15.08.2025
Kane;19.140.000;Thomas;15.08.2025
M. Eggestein;3.770.000;Thomas;15.08.2025
Laimer;5.210.000;Thomas;15.08.2025
Thielmann;2.300.000;Thomas;15.08.2025
Ostrzinski;170.000;Thomas;15.08.2025
Grimaldo;8.630.000;Thomas;15.08.2025
Mainka;4.480.000;Christoph;15.08.2025
Theate;4.720.000;Christoph;15.08.2025
Upamecano;6.590.000;Christoph;15.08.2025
Mwene;2.860.000;Christoph;15.08.2025
Gregoritsch;1.670.000;Nico;15.08.2025
Muheim;2.970.000;Nico;15.08.2025
Wahi;3.270.000;Nico;15.08.2025
Olise;18.360.000;Nico;15.08.2025
Saliakas;2.670.000;Nico;15.08.2025
Schlager;4.780.000;Computer;15.08.2025
Kimmich;16.580.000;Computer;15.08.2025
Raab;170.000;Computer;15.08.2025
Vasilj;2.730.000;Computer;15.08.2025
Maier;530.000;Alfons;15.08.2025
Martel;3.620.000;Alfons;15.08.2025
Giannoulis;3.640.000;Alfons;15.08.2025
Ginter;4.940.000;Alfons;15.08.2025
Kristensen;6.250.000;Alfons;15.08.2025
Peretz;1.520.000;Alfons;15.08.2025
Heuer Fernandes;1.640.000;Thomas;15.08.2025
Čović;1.240.000;Thomas;15.08.2025
Ceesay;340.000;Thomas;15.08.2025
Zentner;3.030.000;Nico;15.08.2025
Hendriks;730.000;Nico;15.08.2025
Höler;3.710.000;Nico;15.08.2025
Dorsch;2.100.000;Nico;15.08.2025
N. Banks;1.300.000;Computer;15.08.2025
;;;15.08.2025
;;Computer;15.08.2025
Doekhi;3.080.000;Nico;15.08.2025
Schäfer;1.570.000;Nico;15.08.2025
Knauff;4.160.000;Nico;15.08.2025
Vidić;180.000;Thomas;15.08.2025
Trapp;2.100.000;Alfons;15.08.2025
Coulibaly;290.000;Alfons;16.08.2025
Deman;330.000;Alfons;16.08.2025
Akpoguma;1.800.000;Alfons;16.08.2025
Mainka;4.480.000;Christoph;16.08.2025
Mwene;2.860.000;Christoph;16.08.2025
Kristensen;6.250.000;Alfons;16.08.2025
Ginter;4.940.000;Alfons;16.08.2025
Mané;1.010.000;Alfons;16.08.2025
Giannoulis;3.640.000;Alfons;16.08.2025
Kemlein;960.000;Alfons;16.08.2025
Nordin;710.000;Alfons;16.08.2025
Martel;3.620.000;Alfons;16.08.2025
Hendriks;730.000;Nico;16.08.2025
Dorsch;2.100.000;Nico;16.08.2025
Zentner;3.030.000;Nico;16.08.2025
Doekhi;3.080.000;Nico;16.08.2025
Schäfer;1.570.000;Nico;16.08.2025
Knauff;4.160.000;Nico;16.08.2025
Nusa;6.740.000;Thomas;16.08.2025
Ostrzinski;170.000;Thomas;16.08.2025
Ceesay;340.000;Thomas;16.08.2025
Čović;1.240.000;Thomas;16.08.2025
Vidić;180.000;Thomas;16.08.2025
Robatsch;280.000;Computer;16.08.2025
Gendrey;470.000;Computer;16.08.2025
Widmer;450.000;Computer;16.08.2025
Pedersen;200.000;Computer;16.08.2025
Süle;2.380.000;Computer;16.08.2025
Poku;6.060.000;Computer;16.08.2025
Majer;5.200.000;Computer;16.08.2025
Undav;9.820.000;Alfons;16.08.2025
Dinkçi;3.330.000;Alfons;16.08.2025
Tietz;4.650.000;Alfons;16.08.2025
Baumgartner;2.630.000;Alfons;16.08.2025
Querfeld;3.100.000;Alfons;16.08.2025
Gulácsi;2.430.000;Alfons;16.08.2025
Jóhannesson;3.600.000;Dominik;16.08.2025
Skov Olsen;2.820.000;Dominik;16.08.2025
Al-Dakhil;830.000;Dominik;16.08.2025
Ogbus;200.000;Dominik;16.08.2025
Sieb;1.730.000;Dominik;16.08.2025
Scienza;3.860.000;Dominik;16.08.2025
Mets;360.000;Dominik;16.08.2025
Malatini;450.000;Dominik;16.08.2025
Mæhle;2.660.000;Dominik;16.08.2025
Zesiger;1.760.000;Dominik;16.08.2025
Topp;2.780.000;Dominik;16.08.2025
Chabot;4.410.000;Dominik;16.08.2025
Netz;1.220.000;Dominik;16.08.2025
N. Schlotterbeck;3.880.000;Dominik;16.08.2025
Ritzka;370.000;Dominik;16.08.2025
Haberer;1.410.000;Dominik;16.08.2025
Götze;3.500.000;Dominik;16.08.2025
Groß;6.140.000;Dominik;16.08.2025
Neuer;2.120.000;Dominik;16.08.2025
Svensson;5.660.000;Thomas;16.08.2025
Kane;19.140.000;Thomas;16.08.2025
M. Eggestein;3.770.000;Thomas;16.08.2025
Wahl;2.920.000;Thomas;16.08.2025
Laimer;5.210.000;Thomas;16.08.2025
Thielmann;2.300.000;Thomas;16.08.2025
Grimaldo;8.630.000;Thomas;16.08.2025
Klostermann;2.500.000;Pascal;16.08.2025
André Silva;4.190.000;Andreas;16.08.2025
Theate;4.720.000;Christoph;16.08.2025
Upamecano;6.590.000;Christoph;16.08.2025
Remberg;2.720.000;Christoph;16.08.2025
Gregoritsch;1.670.000;Nico;16.08.2025
Muheim;2.970.000;Nico;16.08.2025
Wahi;3.270.000;Nico;16.08.2025
Olise;18.360.000;Nico;16.08.2025
Saliakas;2.670.000;Nico;16.08.2025
Schlager;4.780.000;Computer;16.08.2025
Kimmich;16.580.000;Computer;16.08.2025
Raab;170.000;Computer;16.08.2025
Vasilj;2.730.000;Computer;16.08.2025
Höler;3.710.000;Nico;16.08.2025
Musah;160.000;Computer;16.08.2025
N. Banks;1.300.000;Computer;16.08.2025
Hämmerle;170.000;Computer;16.08.2025
Kilian;170.000;Computer;16.08.2025
;;;16.08.2025
Upamecano;6.610.000;Christoph;16.08.2025
Ogbus;210.000;Dominik;16.08.2025
N. Banks;1.230.000;Dominik;16.08.2025
Sieb;1.780.000;Dominik;16.08.2025
Scienza;3.890.000;Dominik;16.08.2025
Mets;350.000;Dominik;16.08.2025
Malatini;460.000;Dominik;16.08.2025
Mæhle;2.700.000;Dominik;16.08.2025
Ullrich;1.680.000;Dominik;16.08.2025
Zesiger;1.800.000;Dominik;16.08.2025
Topp;2.670.000;Dominik;16.08.2025
Chabot;4.340.000;Dominik;16.08.2025
D. Nemeth;1.860.000;Dominik;16.08.2025
Netz;1.280.000;Dominik;16.08.2025
N. Schlotterbeck;3.820.000;Dominik;16.08.2025
Haberer;1.420.000;Dominik;16.08.2025
Götze;3.550.000;Dominik;16.08.2025
Groß;6.590.000;Dominik;16.08.2025
Neuer;2.200.000;Dominik;16.08.2025
Höler;3.810.000;Nico;16.08.2025
Doekhi;3.170.000;Nico;16.08.2025
Knauff;4.130.000;Nico;16.08.2025
Doumbia;180.000;Computer;16.08.2025
Hefti;200.000;Computer;16.08.2025
Kabar;330.000;Computer;16.08.2025
Finkgräfe;980.000;Computer;16.08.2025
Drljača;160.000;Computer;16.08.2025
Palacios;4.550.000;Computer;16.08.2025
Höfler;680.000;Computer;16.08.2025
Coulibaly;310.000;Alfons;16.08.2025
Deman;340.000;Alfons;16.08.2025
Mainka;4.570.000;Christoph;16.08.2025
Mwene;2.890.000;Christoph;16.08.2025
Kristensen;6.320.000;Alfons;16.08.2025
Ginter;4.960.000;Alfons;16.08.2025
Mané;1.120.000;Alfons;16.08.2025
Giannoulis;3.560.000;Alfons;16.08.2025
Kemlein;890.000;Alfons;16.08.2025
Nordin;660.000;Alfons;16.08.2025
Martel;3.700.000;Alfons;16.08.2025
Hendriks;720.000;Nico;16.08.2025
Zentner;3.250.000;Nico;16.08.2025
Schäfer;1.520.000;Nico;16.08.2025
Nusa;6.780.000;Thomas;16.08.2025
Čović;1.380.000;Thomas;16.08.2025
Robatsch;270.000;Computer;16.08.2025
Gendrey;450.000;Computer;16.08.2025
Süle;2.240.000;Computer;16.08.2025
Majer;4.780.000;Computer;16.08.2025
Undav;10.230.000;Alfons;16.08.2025
Dinkçi;3.450.000;Alfons;16.08.2025
Tietz;4.800.000;Alfons;16.08.2025
Querfeld;3.190.000;Alfons;16.08.2025
Gulácsi;2.620.000;Alfons;16.08.2025
Svensson;5.250.000;Thomas;16.08.2025
Kane;18.330.000;Thomas;16.08.2025
M. Eggestein;4.230.000;Thomas;16.08.2025
Wahl;2.800.000;Thomas;16.08.2025
Laimer;5.070.000;Thomas;16.08.2025
Thielmann;2.440.000;Thomas;16.08.2025
Grimaldo;9.170.000;Thomas;16.08.2025
Klostermann;2.570.000;Pascal;16.08.2025
Theate;4.860.000;Christoph;16.08.2025
Remberg;2.830.000;Christoph;16.08.2025
Gregoritsch;1.630.000;Nico;16.08.2025
Muheim;2.890.000;Nico;16.08.2025
Olise;17.740.000;Nico;16.08.2025
Saliakas;2.520.000;Nico;16.08.2025
Kimmich;15.480.000;Computer;16.08.2025
;;;16.08.2025
;;;16.08.2025
Diks;3.250.000;Christoph;16.08.2025
Götze;3.550.000;Christoph;16.08.2025
;;;16.08.2025
Jóhannesson;3.580.000;Dominik;16.08.2025
Skov Olsen;2.980.000;Dominik;16.08.2025
Martel;3.700.000;Alfons;17.08.2025
Coulibaly;310.000;Alfons;17.08.2025
Deman;340.000;Alfons;17.08.2025
Kristensen;6.320.000;Alfons;17.08.2025
Dinkçi;3.450.000;Alfons;17.08.2025
Tietz;4.800.000;Alfons;17.08.2025
Undav;10.230.000;Alfons;17.08.2025
Schlager;4.900.000;Alfons;17.08.2025
Baumgartner;2.630.000;Alfons;17.08.2025
Mané;1.120.000;Alfons;17.08.2025
Querfeld;3.190.000;Alfons;17.08.2025
Raab;230.000;Alfons;17.08.2025
Vasilj;2.800.000;Alfons;17.08.2025
Gulácsi;2.620.000;Alfons;17.08.2025
Laimer;5.070.000;Thomas;17.08.2025
Čović;1.380.000;Thomas;17.08.2025
Vidić;180.000;Thomas;17.08.2025
Grimaldo;9.170.000;Thomas;17.08.2025
Kane;18.330.000;Thomas;17.08.2025
Thielmann;2.440.000;Thomas;17.08.2025
M. Eggestein;4.230.000;Thomas;17.08.2025
Wahl;2.800.000;Thomas;17.08.2025
Svensson;5.250.000;Thomas;17.08.2025
Jóhannesson;3.580.000;Dominik;17.08.2025
Skov Olsen;2.980.000;Dominik;17.08.2025
Ogbus;210.000;Dominik;17.08.2025
N. Banks;1.230.000;Dominik;17.08.2025
Sieb;1.780.000;Dominik;17.08.2025
Scienza;3.890.000;Dominik;17.08.2025
Mets;350.000;Dominik;17.08.2025
Malatini;460.000;Dominik;17.08.2025
Mæhle;2.700.000;Dominik;17.08.2025
Ullrich;1.680.000;Dominik;17.08.2025
Zesiger;1.800.000;Dominik;17.08.2025
Topp;2.670.000;Dominik;17.08.2025
Chabot;4.340.000;Dominik;17.08.2025
D. Nemeth;1.860.000;Dominik;17.08.2025
Netz;1.280.000;Dominik;17.08.2025
N. Schlotterbeck;3.820.000;Dominik;17.08.2025
Ritzka;370.000;Dominik;17.08.2025
Haberer;1.420.000;Dominik;17.08.2025
Groß;6.590.000;Dominik;17.08.2025
Diks;3.250.000;Christoph;17.08.2025
Götze;3.550.000;Christoph;17.08.2025
Upamecano;6.610.000;Christoph;17.08.2025
Höler;3.810.000;Nico;17.08.2025
Doekhi;3.170.000;Nico;17.08.2025
Knauff;4.130.000;Nico;17.08.2025
Dorsch;2.100.000;Nico;17.08.2025
Doumbia;180.000;Computer;17.08.2025
Hefti;200.000;Computer;17.08.2025
Kabar;330.000;Computer;17.08.2025
Finkgräfe;980.000;Computer;17.08.2025
Drljača;160.000;Computer;17.08.2025
Palacios;4.550.000;Computer;17.08.2025
Höfler;680.000;Computer;17.08.2025
Akpoguma;1.800.000;Alfons;17.08.2025
Mainka;4.570.000;Christoph;17.08.2025
Mwene;2.890.000;Christoph;17.08.2025
Ginter;4.960.000;Alfons;17.08.2025
Giannoulis;3.560.000;Alfons;17.08.2025
Kemlein;890.000;Alfons;17.08.2025
Nordin;660.000;Alfons;17.08.2025
Hendriks;720.000;Nico;17.08.2025
Zentner;3.250.000;Nico;17.08.2025
Schäfer;1.520.000;Nico;17.08.2025
Nusa;6.780.000;Thomas;17.08.2025
Ostrzinski;170.000;Thomas;17.08.2025
Ceesay;340.000;Thomas;17.08.2025
Robatsch;270.000;Computer;17.08.2025
Gendrey;450.000;Computer;17.08.2025
Widmer;450.000;Computer;17.08.2025
Pedersen;200.000;Computer;17.08.2025
Süle;2.240.000;Computer;17.08.2025
Poku;6.060.000;Computer;17.08.2025
Majer;4.780.000;Computer;17.08.2025
Klostermann;2.570.000;Pascal;17.08.2025
Theate;4.860.000;Christoph;17.08.2025
Gregoritsch;1.630.000;Nico;17.08.2025
Muheim;2.890.000;Nico;17.08.2025
Wahi;3.270.000;Nico;17.08.2025
Olise;17.740.000;Nico;17.08.2025
Saliakas;2.520.000;Nico;17.08.2025
Kimmich;15.480.000;Computer;17.08.2025
Poku;6.530.000;Thomas;17.08.2025
T. Philipp;160.000;Computer;17.08.2025
Leweling;5.310.000;Computer;17.08.2025
Martel;3.720.000;Alfons;17.08.2025
Coulibaly;320.000;Alfons;17.08.2025
Deman;430.000;Alfons;17.08.2025
Kristensen;6.380.000;Alfons;17.08.2025
Dinkçi;3.610.000;Alfons;17.08.2025
Tietz;4.880.000;Alfons;17.08.2025
Undav;9.880.000;Alfons;17.08.2025
Baumgartner;2.610.000;Alfons;17.08.2025
Mané;1.370.000;Alfons;17.08.2025
Querfeld;3.180.000;Alfons;17.08.2025
Vasilj;2.850.000;Alfons;17.08.2025
Gulácsi;2.660.000;Alfons;17.08.2025
Laimer;5.040.000;Thomas;17.08.2025
Čović;1.590.000;Thomas;17.08.2025
Kane;18.550.000;Thomas;17.08.2025
Thielmann;2.520.000;Thomas;17.08.2025
Wahl;2.660.000;Thomas;17.08.2025
Svensson;5.100.000;Thomas;17.08.2025
Jóhannesson;3.510.000;Dominik;17.08.2025
Skov Olsen;3.040.000;Dominik;17.08.2025
N. Banks;1.150.000;Dominik;17.08.2025
Sieb;1.830.000;Dominik;17.08.2025
Scienza;4.050.000;Dominik;17.08.2025
Malatini;430.000;Dominik;17.08.2025
Mæhle;2.920.000;Dominik;17.08.2025
Ullrich;1.610.000;Dominik;17.08.2025
Zesiger;1.670.000;Dominik;17.08.2025
Topp;2.580.000;Dominik;17.08.2025
Chabot;4.430.000;Dominik;17.08.2025
Netz;1.370.000;Dominik;17.08.2025
N. Schlotterbeck;3.550.000;Dominik;17.08.2025
Ritzka;350.000;Dominik;17.08.2025
Groß;6.420.000;Dominik;17.08.2025
Diks;3.280.000;Christoph;17.08.2025
Höler;3.870.000;Nico;17.08.2025
Doekhi;3.150.000;Nico;17.08.2025
Knauff;4.330.000;Nico;17.08.2025
Dorsch;2.080.000;Nico;17.08.2025
Kabar;400.000;Computer;17.08.2025
Finkgräfe;920.000;Computer;17.08.2025
Drljača;170.000;Computer;17.08.2025
Palacios;4.640.000;Computer;17.08.2025
Höfler;710.000;Computer;17.08.2025
Akpoguma;1.770.000;Alfons;17.08.2025
Mainka;4.450.000;Christoph;17.08.2025
Mwene;2.790.000;Christoph;17.08.2025
Ginter;5.030.000;Alfons;17.08.2025
Giannoulis;3.330.000;Alfons;17.08.2025
Kemlein;820.000;Alfons;17.08.2025
Nordin;620.000;Alfons;17.08.2025
Hendriks;740.000;Nico;17.08.2025
Schäfer;1.640.000;Nico;17.08.2025
Nusa;6.630.000;Thomas;17.08.2025
Ostrzinski;160.000;Thomas;17.08.2025
Ceesay;330.000;Thomas;17.08.2025
Robatsch;260.000;Computer;17.08.2025
Gendrey;440.000;Computer;17.08.2025
Widmer;420.000;Computer;17.08.2025
Pedersen;210.000;Computer;17.08.2025
Süle;2.100.000;Computer;17.08.2025
Majer;4.840.000;Computer;17.08.2025
Neuer;2.210.000;Dominik;17.08.2025
Saliakas;2.460.000;Nico;17.08.2025
Muheim;3.070.000;Nico;17.08.2025
Wahi;3.250.000;Nico;17.08.2025
Olise;17.440.000;Nico;17.08.2025
Gregoritsch;1.620.000;Nico;17.08.2025
Baumgartner;2.610.000;Alfons;18.08.2025
Undav;9.880.000;Alfons;18.08.2025
Schlager;4.900.000;Alfons;18.08.2025
Gulácsi;2.660.000;Alfons;18.08.2025
Giannoulis;3.330.000;Alfons;18.08.2025
Ginter;5.030.000;Alfons;18.08.2025
M. Eggestein;4.230.000;Thomas;18.08.2025
Laimer;5.040.000;Thomas;18.08.2025
Grimaldo;9.170.000;Thomas;18.08.2025
Čović;1.590.000;Thomas;18.08.2025
Ostrzinski;160.000;Thomas;18.08.2025
Nusa;6.630.000;Thomas;18.08.2025
Ceesay;330.000;Thomas;18.08.2025
Jóhannesson;3.510.000;Dominik;18.08.2025
Skov Olsen;3.040.000;Dominik;18.08.2025
Ogbus;210.000;Dominik;18.08.2025
N. Banks;1.150.000;Dominik;18.08.2025
Sieb;1.830.000;Dominik;18.08.2025
Scienza;4.050.000;Dominik;18.08.2025
Mets;350.000;Dominik;18.08.2025
Malatini;430.000;Dominik;18.08.2025
Mæhle;2.920.000;Dominik;18.08.2025
Ullrich;1.610.000;Dominik;18.08.2025
Zesiger;1.670.000;Dominik;18.08.2025
Topp;2.580.000;Dominik;18.08.2025
Chabot;4.430.000;Dominik;18.08.2025
D. Nemeth;1.860.000;Dominik;18.08.2025
Netz;1.370.000;Dominik;18.08.2025
N. Schlotterbeck;3.550.000;Dominik;18.08.2025
Ritzka;350.000;Dominik;18.08.2025
Haberer;1.420.000;Dominik;18.08.2025
Groß;6.420.000;Dominik;18.08.2025
Neuer;2.210.000;Dominik;18.08.2025
Saliakas;2.460.000;Nico;18.08.2025
Muheim;3.070.000;Nico;18.08.2025
Wahi;3.250.000;Nico;18.08.2025
Olise;17.440.000;Nico;18.08.2025
Gregoritsch;1.620.000;Nico;18.08.2025
Poku;6.530.000;Thomas;18.08.2025
T. Philipp;160.000;Computer;18.08.2025
Leweling;5.310.000;Computer;18.08.2025
Martel;3.720.000;Alfons;18.08.2025
Coulibaly;320.000;Alfons;18.08.2025
Deman;430.000;Alfons;18.08.2025
Kristensen;6.380.000;Alfons;18.08.2025
Dinkçi;3.610.000;Alfons;18.08.2025
Tietz;4.880.000;Alfons;18.08.2025
Mané;1.370.000;Alfons;18.08.2025
Querfeld;3.180.000;Alfons;18.08.2025
Raab;230.000;Alfons;18.08.2025
Vasilj;2.850.000;Alfons;18.08.2025
Vidić;180.000;Thomas;18.08.2025
Kane;18.550.000;Thomas;18.08.2025
Thielmann;2.520.000;Thomas;18.08.2025
Wahl;2.660.000;Thomas;18.08.2025
Svensson;5.100.000;Thomas;18.08.2025
Diks;3.280.000;Christoph;18.08.2025
Götze;3.550.000;Christoph;18.08.2025
Höler;3.870.000;Nico;18.08.2025
Doekhi;3.150.000;Nico;18.08.2025
Knauff;4.330.000;Nico;18.08.2025
Dorsch;2.080.000;Nico;18.08.2025
Doumbia;180.000;Computer;18.08.2025
Hefti;200.000;Computer;18.08.2025
Kabar;400.000;Computer;18.08.2025
Finkgräfe;920.000;Computer;18.08.2025
Drljača;170.000;Computer;18.08.2025
Palacios;4.640.000;Computer;18.08.2025
Höfler;710.000;Computer;18.08.2025
Mainka;4.450.000;Christoph;18.08.2025
Mwene;2.790.000;Christoph;18.08.2025
Hendriks;740.000;Nico;18.08.2025
Zentner;3.250.000;Nico;18.08.2025
Schäfer;1.640.000;Nico;18.08.2025
Robatsch;260.000;Computer;18.08.2025
Gendrey;440.000;Computer;18.08.2025
Widmer;420.000;Computer;18.08.2025
Pedersen;210.000;Computer;18.08.2025
Süle;2.100.000;Computer;18.08.2025
Majer;4.840.000;Computer;18.08.2025
Kampl;1.060.000;Computer;18.08.2025
Hountondji;2.570.000;Computer;18.08.2025
Baldé;340.000;Computer;18.08.2025
Angély;170.000;Computer;18.08.2025
Kerber;570.000;Computer;18.08.2025
Openda;11.250.000;Computer;18.08.2025
Král;740.000;Computer;18.08.2025
Adli;3.190.000;Computer;18.08.2025
Rexhbecaj;1.500.000;Computer;18.08.2025
Baumgartner;2.700.000;Alfons;18.08.2025
Undav;10.080.000;Alfons;18.08.2025
Schlager;4.890.000;Alfons;18.08.2025
Gulácsi;3.050.000;Alfons;18.08.2025
Giannoulis;3.190.000;Alfons;18.08.2025
Ginter;4.870.000;Alfons;18.08.2025
M. Eggestein;4.170.000;Thomas;18.08.2025
Laimer;5.130.000;Thomas;18.08.2025
Grimaldo;9.080.000;Thomas;18.08.2025
Nusa;6.430.000;Thomas;18.08.2025
Ceesay;360.000;Thomas;18.08.2025
Jóhannesson;3.800.000;Dominik;18.08.2025
Skov Olsen;3.110.000;Dominik;18.08.2025
Ogbus;200.000;Dominik;18.08.2025
Sieb;1.900.000;Dominik;18.08.2025
Scienza;4.100.000;Dominik;18.08.2025
Mets;390.000;Dominik;18.08.2025
Mæhle;2.980.000;Dominik;18.08.2025
Ullrich;1.600.000;Dominik;18.08.2025
Zesiger;1.700.000;Dominik;18.08.2025
Topp;2.550.000;Dominik;18.08.2025
Chabot;4.450.000;Dominik;18.08.2025
D. Nemeth;1.830.000;Dominik;18.08.2025
Netz;1.400.000;Dominik;18.08.2025
N. Schlotterbeck;3.860.000;Dominik;18.08.2025
Ritzka;340.000;Dominik;18.08.2025
Haberer;1.440.000;Dominik;18.08.2025
Groß;6.490.000;Dominik;18.08.2025
Neuer;2.240.000;Dominik;18.08.2025
Saliakas;2.430.000;Nico;18.08.2025
Wahi;3.280.000;Nico;18.08.2025
Olise;17.520.000;Nico;18.08.2025
Gregoritsch;1.860.000;Nico;18.08.2025
Poku;7.070.000;Thomas;18.08.2025
Leweling;5.800.000;Computer;18.08.2025
Martel;3.920.000;Alfons;18.08.2025
Coulibaly;330.000;Alfons;18.08.2025
Deman;480.000;Alfons;18.08.2025
Kristensen;6.350.000;Alfons;18.08.2025
Dinkçi;3.690.000;Alfons;18.08.2025
Tietz;4.870.000;Alfons;18.08.2025
Mané;1.480.000;Alfons;18.08.2025
Querfeld;3.260.000;Alfons;18.08.2025
Raab;270.000;Alfons;18.08.2025
Vasilj;2.970.000;Alfons;18.08.2025
Kane;19.400.000;Thomas;18.08.2025
Thielmann;2.510.000;Thomas;18.08.2025
Wahl;2.850.000;Thomas;18.08.2025
Svensson;5.370.000;Thomas;18.08.2025
Diks;3.320.000;Christoph;18.08.2025
Götze;3.700.000;Christoph;18.08.2025
Höler;4.160.000;Nico;18.08.2025
Doekhi;3.270.000;Nico;18.08.2025
Knauff;4.800.000;Nico;18.08.2025
Dorsch;2.100.000;Nico;18.08.2025
Finkgräfe;990.000;Computer;18.08.2025
Palacios;4.730.000;Computer;18.08.2025
Remberg;3.140.000;Christoph;18.08.2025
Torunarigha;2.530.000;Andreas;18.08.2025
Tiago Tomás;5.100.000;Andreas;18.08.2025
Hendriks;810.000;Nico;18.08.2025
Schäfer;1.770.000;Nico;18.08.2025
Zentner;3.270.000;Nico;18.08.2025
Drljača;170.000;Dominik;18.08.2025
Rexhbeçaj;1.500.000;Computer;18.08.2025
Gulácsi;3.050.000;Alfons;19.08.2025
Schlager;4.890.000;Alfons;19.08.2025
Tietz;4.870.000;Alfons;19.08.2025
Undav;10.080.000;Alfons;19.08.2025
Vasilj;2.970.000;Alfons;19.08.2025
Raab;270.000;Alfons;19.08.2025
Kristensen;6.350.000;Alfons;19.08.2025
Querfeld;3.260.000;Alfons;19.08.2025
Deman;480.000;Alfons;19.08.2025
Kabar;420.000;Alfons;19.08.2025
Pedersen;200.000;Alfons;19.08.2025
Mané;1.480.000;Alfons;19.08.2025
Coulibaly;330.000;Alfons;19.08.2025
Höfler;720.000;Alfons;19.08.2025
Martel;3.920.000;Alfons;19.08.2025
Dinkçi;3.690.000;Alfons;19.08.2025
Dorsch;2.100.000;Nico;19.08.2025
Svensson;5.370.000;Thomas;19.08.2025
Poku;7.070.000;Thomas;19.08.2025
Wahl;2.850.000;Thomas;19.08.2025
Thielmann;2.510.000;Thomas;19.08.2025
Kane;19.400.000;Thomas;19.08.2025
