Spieler;Marktwert;Besitzer;TM_Stand
Fukuda;260.000;Alfons;02.06.2025
Wätjen;390.000;Thomas;02.06.2025
B. Dárdai;1.820.000;Dominik;02.06.2025
Conteh;930.000;Computer;02.06.2025
Vasilj;2.730.000;Computer;02.06.2025
Saliakas;3.230.000;Nico;02.06.2025
Ouédraogo;1.580.000;Nico;02.06.2025
Querfeld;4.050.000;Alfons;02.06.2025
Veratschnig;400.000;Christoph;02.06.2025
Hendriks;1.260.000;Nico;02.06.2025
Uzun;3.390.000;Christoph;02.06.2025
Preu;400.000;Christoph;02.06.2025
Højlund;1.360.000;Alfons;02.06.2025
Kristensen;7.500.000;Alfons;02.06.2025
Tabaković;1.960.000;Alfons;02.06.2025
Hranáč;200.000;Alfons;02.06.2025
Hennrich;160.000;Christian;02.06.2025
Swider;160.000;Christoph;02.06.2025
G. Orban;1.730.000;Nico;02.06.2025
Gleiber;190.000;Christoph;02.06.2025
Schmitz;190.000;Computer;02.06.2025
Wahi;2.420.000;Nico;02.06.2025
Vidić;160.000;Computer;02.06.2025
Pesch;220.000;Nico;02.06.2025
Obert;370.000;Nico;02.06.2025
Kusi-Asare;1.200.000;Computer;02.06.2025
Muheim;3.410.000;Nico;02.06.2025
L. Reis;2.990.000;Alfons;02.06.2025
Suzuki;6.800.000;Nico;02.06.2025
Dong;750.000;Pascal;02.06.2025
S. Burchert;160.000;Thomas;03.06.2025
Batz;230.000;Computer;03.06.2025
Höfler;500.000;Alfons;03.06.2025
Gregoritsch;1.840.000;Nico;03.06.2025
K. Müller;1.260.000;Christoph;03.06.2025
Zentner;3.490.000;Nico;03.06.2025
M. Eggestein;5.050.000;Thomas;03.06.2025
Zetterer;2.420.000;Christoph;03.06.2025
Huth;160.000;Computer;03.06.2025
Mittelstädt;10.420.000;Thomas;03.06.2025
Gulácsi;3.080.000;Alfons;03.06.2025
Dorsch;1.570.000;Nico;03.06.2025
B. Jatta;1.720.000;Thomas;03.06.2025
Wahl;3.260.000;Thomas;03.06.2025
Özcan;1.510.000;Christian;03.06.2025
Geiger;1.070.000;Nico;03.06.2025
Friedl;3.610.000;Computer;03.06.2025
Bruun Larsen;1.240.000;Thomas;03.06.2025
Meyer;260.000;Thomas;03.06.2025
Dahmen;2.620.000;Thomas;03.06.2025
Haidara;1.660.000;Christian;03.06.2025
Tietz;3.650.000;Computer;03.06.2025
Lainer;820.000;Dominik;03.06.2025
Osterhage;2.500.000;Thomas;03.06.2025
Keitel;660.000;Computer;03.06.2025
Ngankam;540.000;Dominik;03.06.2025
Musiala;13.430.000;Thomas;03.06.2025
Doan;13.520.000;Thomas;03.06.2025
Martel;4.340.000;Alfons;03.06.2025
Dinkçi;1.170.000;Alfons;03.06.2025
Knauff;5.300.000;Nico;03.06.2025
Stanišić;6.920.000;Thomas;03.06.2025
Stiller;12.710.000;Christoph;03.06.2025
Adli;4.660.000;Computer;03.06.2025
F. Becker;500.000;Thomas;03.06.2025
Doekhi;3.880.000;Nico;03.06.2025
Skarke;1.320.000;Thomas;03.06.2025
Koudossou;430.000;Dominik;03.06.2025
P. Aaronson;1.240.000;Computer;03.06.2025
Diehl;410.000;Thomas;03.06.2025
Ullrich;1.080.000;Christian;03.06.2025
Paçarada;2.950.000;Pascal;03.06.2025
Larsson;5.580.000;Computer;03.06.2025
Traoré;1.270.000;Christoph;03.06.2025
Rosenfelder;1.630.000;Alfons;03.06.2025
Boniface;7.880.000;Alfons;03.06.2025
Hollerbach;6.840.000;Computer;03.06.2025
Kovář;490.000;Computer;03.06.2025
Stergiou;1.240.000;Dominik;03.06.2025
Pavlović;8.850.000;Nico;03.06.2025
Fukuda;260.000;Alfons;03.06.2025
Fukuda;260.000;Alfons;03.06.2025
Wätjen;400.000;Thomas;03.06.2025
Vasilj;3.030.000;Computer;03.06.2025
Dźwigała;220.000;Christoph;03.06.2025
Saliakas;3.280.000;Nico;03.06.2025
Sander;1.920.000;Dominik;03.06.2025
Ouédraogo;1.760.000;Nico;03.06.2025
Querfeld;4.150.000;Alfons;03.06.2025
Veratschnig;430.000;Christoph;03.06.2025
Hendriks;1.310.000;Nico;03.06.2025
Uzun;3.700.000;Christoph;03.06.2025
Preu;430.000;Christoph;03.06.2025
Højlund;1.440.000;Alfons;03.06.2025
Kristensen;7.730.000;Alfons;03.06.2025
Tabaković;1.990.000;Alfons;03.06.2025
Hranáč;200.000;Alfons;03.06.2025
Hennrich;160.000;Christian;03.06.2025
Swider;160.000;Christoph;03.06.2025
G. Orban;1.820.000;Nico;03.06.2025
Gleiber;200.000;Christoph;03.06.2025
Schmitz;180.000;Computer;03.06.2025
Čović;200.000;Computer;03.06.2025
Wahi;2.630.000;Nico;03.06.2025
Vidić;160.000;Computer;03.06.2025
