SPIELER;POSITION;TEAM;PUNKTE;MARKTWERT;ZIELWERT;PUNKTE / SPIEL;KAUFEMPFEHLUNG;PREIS-LEISSTUNG;GEBOTSVORHERSAGE;BESITZER;Datum
Tillman;Mittelfeld;Bayer 04 Leverkusen;0;12.320.000;12.460.000;1,7;Halten;Schlecht;2;Computer;30.07.2025
Milošević;Stürmer;VfB Stuttgart;0;230;230;1,3;Halten;Durchschnittlich;0;Computer;30.07.2025
João Palhinha;Mittelfeld;FC Bayern München;33;1.420.000;1.410.000;2,2;Halten;Gut;3;Computer;30.07.2025
Nusa;Mittelfeld;RB Leipzig;85;5.830.000;5.770.000;3,5;Halten;Durchschnittlich;4;Computer;30.07.2025
Baldé;Stürmer;Hamburger SV;0;370;370;0,0;Halten;Schlecht;0;Computer;30.07.2025
Bos;Abwehr;1. FSV Mainz 05;0;380;380;0,0;Halten;Schlecht;0;Computer;30.07.2025
Kampl;Mittelfeld;RB Leipzig;82;1.340.000;1.340.000;3,3;Halten;Gut;0;Computer;30.07.2025
Sippel;Torhüter;Borussia Mönchengladbach;-2;160;160;-2,0;Halten;Schlecht;0;Computer;30.07.2025
Henrichs;Abwehr;RB Leipzig;49;1.960.000;1.930.000;3,3;Halten;Gut;0;Computer;30.07.2025
Sabitzer;Mittelfeld;Borussia Dortmund;69;2.020.000;2.040.000;2,7;Halten;Gut;0;Computer;30.07.2025
Mainka;Abwehr;1.FC Heidenheim;142;3.930.000;3.870.000;4,2;Halten;Durchschnittlich;0;Computer;30.07.2025
Millot;Mittelfeld;VfB Stuttgart;112;3.290.000;3.250.000;3,9;Halten;Gut;0;Computer;30.07.2025
Koudossou;Abwehr;FC Augsburg;41;820;830;2,0;Halten;Durchschnittlich;0;Computer;30.07.2025
Remberg;Mittelfeld;Hamburger SV;86;2.150.000;2.120.000;2,8;Halten;Gut;0;Computer;30.07.2025
Voll;Torhüter;FC St. Pauli;2;190;190;2,0;Halten;Gut;0;Computer;30.07.2025
Amoura;Stürmer;VfL Wolfsburg;166;8.820.000;8.750.000;5,4;Halten;Gut;2;Computer;30.07.2025
Dal;Abwehr;1. FSV Mainz 05;0;180;180;0,0;Verkaufen;Schlecht;0;Computer;30.07.2025
Hennrich;Stürmer;TSG Hoffenheim;1;160;160;1,0;Halten;Durchschnittlich;3;Computer;30.07.2025
Gazibegović;Abwehr;1. FC Köln;0;710;720;0,0;Halten;Schlecht;0;Computer;30.07.2025
Bellingham;Mittelfeld;Borussia Dortmund;0;9.420.000;9.410.000;0,0;Halten;Schlecht;2;Computer;30.07.2025
Darvich;Mittelfeld;VfB Stuttgart;0;3.240.000;3.140.000;0,0;Halten;Schlecht;0;Computer;30.07.2025
Sippel;Torhüter;Borussia Mönchengladbach;-2;160;160;-2,0;Halten;Schlecht;0;Computer;31.07.2025
Nübel;Torhüter;VfB Stuttgart;84;2.800.000;2.790.000;2,5;Halten;Schlecht;2;Computer;31.07.2025
Sabitzer;Mittelfeld;Borussia Dortmund;69;2.110.000;2.160.000;2,7;Halten;Gut;0;Computer;31.07.2025
Richter;Stürmer;1. FSV Mainz 05;0;370;370;2,6;Halten;Gut;0;Computer;31.07.2025
Mainka;Abwehr;1.FC Heidenheim;142;3.680.000;3.720.000;4,2;Halten;Gut;0;Computer;31.07.2025
Millot;Mittelfeld;VfB Stuttgart;112;3.110.000;3.080.000;3,9;Halten;Gut;0;Computer;31.07.2025
Koudossou;Abwehr;FC Augsburg;41;850;840;2,0;Halten;Durchschnittlich;0;Computer;31.07.2025
B. Dárdai;Mittelfeld;VfL Wolfsburg;53;1.010.000;1.010.000;2,5;Halten;Gut;0;Computer;31.07.2025
Remberg;Mittelfeld;Hamburger SV;86;2.180.000;2.150.000;2,8;Halten;Gut;0;Computer;31.07.2025
Brown;Abwehr;Eintracht Frankfurt;140;4.840.000;4.830.000;5,4;Halten;Gut;1;Computer;31.07.2025
Chase;Abwehr;VfB Stuttgart;29;410;410;2,4;Halten;Gut;0;Computer;31.07.2025
Hennrich;Stürmer;TSG Hoffenheim;1;160;160;1,0;Halten;Durchschnittlich;0;Computer;31.07.2025
Gazibegović;Abwehr;1. FC Köln;0;690;690;0,0;Halten;Schlecht;0;Computer;31.07.2025
Darvich;Mittelfeld;VfB Stuttgart;0;3.280.000;3.190.000;0,0;Halten;Schlecht;0;Computer;31.07.2025
Bakayoko;Stürmer;RB Leipzig;0;11.530.000;11.880.000;0,0;Halten;Schlecht;2;Computer;31.07.2025
Sippel;Torhüter;Borussia Mönchengladbach;-2;160;160;-2,0;Halten;Schlecht;0;Computer;01.08.2025
Nübel;Torhüter;VfB Stuttgart;84;2.810.000;2.850.000;2,5;Halten;Schlecht;2;Computer;01.08.2025
M. Wolf;Abwehr;FC Augsburg;95;1.760.000;1.740.000;3,0;Halten;Gut;0;Computer;01.08.2025
Richter;Stürmer;1. FSV Mainz 05;0;370;370;2,6;Halten;Gut;0;Computer;01.08.2025
Millot;Mittelfeld;VfB Stuttgart;112;2.940.000;2.920.000;3,9;Halten;Gut;0;Computer;01.08.2025
Zesiger;Abwehr;FC Augsburg;70;1.990.000;2.000.000;3,3;Halten;Gut;0;Computer;01.08.2025
B. Dárdai;Mittelfeld;VfL Wolfsburg;53;1.020.000;1.040.000;2,5;Halten;Gut;0;Computer;01.08.2025
Remberg;Mittelfeld;Hamburger SV;86;2.180.000;2.140.000;2,8;Halten;Gut;0;Computer;01.08.2025
Brown;Abwehr;Eintracht Frankfurt;140;4.660.000;4.640.000;5,4;Halten;Gut;0;Computer;01.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.400.000;1.400.000;2,1;Halten;Durchschnittlich;0;Computer;01.08.2025
Chase;Abwehr;VfB Stuttgart;29;390;390;2,4;Halten;Gut;0;Computer;01.08.2025
Hennrich;Stürmer;TSG Hoffenheim;1;160;160;1,0;Halten;Durchschnittlich;0;Computer;01.08.2025
Gazibegović;Abwehr;1. FC Köln;0;730;710;0,0;Halten;Schlecht;0;Computer;01.08.2025
Darvich;Mittelfeld;VfB Stuttgart;0;3.080.000;3.060.000;0,0;Halten;Schlecht;0;Computer;01.08.2025
Bakayoko;Stürmer;RB Leipzig;0;10.620.000;10.790.000;0,0;Halten;Schlecht;2;Computer;01.08.2025
Batz;Torhüter;1. FSV Mainz 05;0;160;160;4,0;Halten;Gut;0;Computer;02.08.2025
Nübel;Torhüter;VfB Stuttgart;84;2.950.000;2.790.000;2,5;Halten;Schlecht;2;Computer;02.08.2025
M. Wolf;Abwehr;FC Augsburg;95;1.770.000;1.780.000;3,0;Halten;Gut;2;Computer;02.08.2025
Ryerson;Abwehr;Borussia Dortmund;107;3.600.000;3.560.000;3,7;Halten;Durchschnittlich;1;Computer;02.08.2025
Feller;Torhüter;1.FC Heidenheim;4;160;160;2,0;Halten;Gut;0;Computer;02.08.2025
Zesiger;Abwehr;FC Augsburg;70;2.050.000;2.050.000;3,3;Halten;Gut;2;Computer;02.08.2025
Openda;Stürmer;RB Leipzig;157;8.670.000;8.580.000;4,8;Halten;Gut;2;Computer;02.08.2025
Peretz;Torhüter;Hamburger SV;0;1.500.000;1.500.000;0,0;Halten;Schlecht;1;Computer;02.08.2025
B. Dárdai;Mittelfeld;VfL Wolfsburg;53;1.120.000;1.150.000;2,5;Halten;Gut;5;Computer;02.08.2025
Brown;Abwehr;Eintracht Frankfurt;140;4.770.000;4.760.000;5,4;Halten;Gut;2;Computer;02.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.620.000;1.600.000;2,1;Halten;Durchschnittlich;1;Computer;02.08.2025
Chase;Abwehr;VfB Stuttgart;29;390;390;2,4;Halten;Gut;0;Computer;02.08.2025
Svensson;Abwehr;Borussia Dortmund;49;3.950.000;3.930.000;4,1;Halten;Durchschnittlich;1;Computer;02.08.2025
Kiala;Abwehr;FC Bayern München;0;200;200;0,0;Halten;Schlecht;0;Computer;02.08.2025
Bakayoko;Stürmer;RB Leipzig;0;11.570.000;11.320.000;0,0;Halten;Schlecht;2;Computer;02.08.2025
Batz;Torhüter;1. FSV Mainz 05;0;160;160;4,0;Halten;Gut;0;Computer;03.08.2025
Anton;Abwehr;Borussia Dortmund;127;4.240.000;4.230.000;4,9;Halten;Gut;0;Computer;03.08.2025
M. Wolf;Abwehr;FC Augsburg;95;1.810.000;1.810.000;3,0;Halten;Gut;2;Computer;03.08.2025
Haller;Stürmer;Borussia Dortmund;0;1.190.000;1.200.000;1,6;Halten;Durchschnittlich;2;Computer;03.08.2025
Ryerson;Abwehr;Borussia Dortmund;107;3.560.000;3.550.000;3,7;Halten;Durchschnittlich;0;Computer;03.08.2025
Feller;Torhüter;1.FC Heidenheim;4;160;160;2,0;Halten;Gut;0;Computer;03.08.2025
Hanche-Olsen;Abwehr;1. FSV Mainz 05;50;730;740;2,5;Halten;Gut;0;Computer;03.08.2025
Openda;Stürmer;RB Leipzig;157;8.740.000;8.680.000;4,8;Halten;Gut;1;Computer;03.08.2025
Peretz;Torhüter;Hamburger SV;0;1.620.000;1.610.000;0,0;Halten;Schlecht;1;Computer;03.08.2025
Bahoya;Stürmer;Eintracht Frankfurt;80;5.050.000;5.080.000;3,6;Halten;Gut;0;Computer;03.08.2025
Scienza;Stürmer;1.FC Heidenheim;102;3.140.000;3.210.000;4,1;Halten;Gut;1;Computer;03.08.2025
Lührs;Abwehr;Borussia Dortmund;3;200;200;1,0;Halten;Durchschnittlich;0;Computer;03.08.2025
Svensson;Abwehr;Borussia Dortmund;49;4.290.000;4.270.000;4,1;Halten;Durchschnittlich;0;Computer;03.08.2025
Baldé;Stürmer;Hamburger SV;0;340;340;0,0;Halten;Schlecht;0;Computer;03.08.2025
Kiala;Abwehr;FC Bayern München;0;200;200;0,0;Halten;Schlecht;0;Computer;03.08.2025
M. Wolf;Abwehr;FC Augsburg;95;1.810.000;1.810.000;3,0;Halten;Gut;2;Computer;04.08.2025
Openda;Stürmer;RB Leipzig;157;8.740.000;8.680.000;4,8;Halten;Gut;1;Computer;04.08.2025
Peretz;Torhüter;Hamburger SV;0;1.620.000;1.610.000;0,0;Halten;Schlecht;1;Computer;04.08.2025
Svensson;Abwehr;Borussia Dortmund;49;4.290.000;4.270.000;4,1;Halten;Durchschnittlich;0;Computer;04.08.2025
Batz;Torhüter;1. FSV Mainz 05;0;160;160;4,0;Halten;Gut;0;Computer;04.08.2025
Anton;Abwehr;Borussia Dortmund;127;4.350.000;4.330.000;4,9;Halten;Gut;0;Computer;04.08.2025
Maier;Mittelfeld;FC Augsburg;59;460;470;2,1;Halten;Gut;0;Computer;04.08.2025
Haller;Stürmer;Borussia Dortmund;0;1.240.000;1.220.000;1,6;Halten;Durchschnittlich;0;Computer;04.08.2025
Ryerson;Abwehr;Borussia Dortmund;107;3.630.000;3.590.000;3,7;Halten;Durchschnittlich;0;Computer;04.08.2025
Feller;Torhüter;1.FC Heidenheim;4;160;160;2,0;Halten;Gut;0;Computer;04.08.2025
Hanche-Olsen;Abwehr;1. FSV Mainz 05;50;720;740;2,5;Halten;Gut;0;Computer;04.08.2025
Bahoya;Stürmer;Eintracht Frankfurt;80;5.340.000;5.370.000;3,6;Halten;Gut;0;Computer;04.08.2025
Kücüksahin;Mittelfeld;FC Augsburg;0;170;170;0,0;Halten;Schlecht;0;Computer;04.08.2025
Scienza;Stürmer;1.FC Heidenheim;102;3.180.000;3.220.000;4,1;Halten;Gut;0;Computer;04.08.2025
Lührs;Abwehr;Borussia Dortmund;3;210;210;1,0;Halten;Durchschnittlich;0;Computer;04.08.2025
Mané;Abwehr;Borussia Dortmund;0;260;260;0,0;Halten;Schlecht;0;Computer;04.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;640;640;2,5;Halten;Gut;0;Computer;04.08.2025
Baldé;Stürmer;Hamburger SV;0;320;320;0,0;Halten;Schlecht;0;Computer;04.08.2025
Kiala;Abwehr;FC Bayern München;0;190;190;0,0;Halten;Schlecht;0;Computer;04.08.2025
Grillitsch;Abwehr;TSG Hoffenheim;27;510.000;510.000;3,4;Halten;Gut;0;Computer;05.08.2025
Anton;Abwehr;Borussia Dortmund;127;4.290.000;4.230.000;4,9;Halten;Gut;0;Computer;05.08.2025
Poulsen;Stürmer;Hamburger SV;53;4.650.000;4.720.000;2,7;Halten;Durchschnittlich;0;Computer;05.08.2025
Maier;Mittelfeld;FC Augsburg;59;460.000;480.000;2,1;Halten;Gut;5;Computer;05.08.2025
Keller;Abwehr;1.FC Heidenheim;11;180.000;180.000;2,2;Halten;Gut;0;Computer;05.08.2025
Kastanaras;Stürmer;VfB Stuttgart;0;160.000;160.000;0,7;Halten;Schlecht;0;Computer;05.08.2025
Boniface;Stürmer;Bayer 04 Leverkusen;89;7.390.000;7.540.000;4,9;Halten;Gut;1;Computer;05.08.2025
N. Collins;Abwehr;Eintracht Frankfurt;72;2.270.000;2.300.000;3,1;Halten;Gut;0;Computer;05.08.2025
Kücüksahin;Mittelfeld;FC Augsburg;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;05.08.2025
Koulierakis;Abwehr;VfL Wolfsburg;102;2.650.000;2.670.000;3,4;Halten;Gut;0;Computer;05.08.2025
Mané;Abwehr;Borussia Dortmund;0;310.000;310.000;0,0;Halten;Schlecht;0;Computer;05.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;640.000;630.000;2,5;Halten;Gut;5;Computer;05.08.2025
Irié;Stürmer;Sport-Club Freiburg;0;1.520.000;1.530.000;0,0;Halten;Schlecht;0;Computer;05.08.2025
Baldé;Stürmer;Hamburger SV;0;310.000;310.000;0,0;Halten;Schlecht;0;Computer;05.08.2025
Meiser;Abwehr;FC Augsburg;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;05.08.2025
Grillitsch;Abwehr;TSG Hoffenheim;27;490.000;490.000;3,4;Halten;Gut;0;Computer;06.08.2025
Poulsen;Stürmer;Hamburger SV;53;4.900.000;4.900.000;2,7;Halten;Durchschnittlich;3;Computer;06.08.2025
Keller;Abwehr;1.FC Heidenheim;11;190.000;190.000;2,2;Kaufen;Gut;2;Computer;06.08.2025
Wanner;Mittelfeld;FC Bayern München;68;3.170.000;3.190.000;2,3;Halten;Durchschnittlich;5;Computer;06.08.2025
Kastanaras;Stürmer;VfB Stuttgart;0;170.000;170.000;0,7;Halten;Schlecht;0;Computer;06.08.2025
Boniface;Stürmer;Bayer 04 Leverkusen;89;7.400.000;7.510.000;4,9;Halten;Gut;5;Computer;06.08.2025
Lynen;Mittelfeld;SV Werder Bremen;91;2.440.000;2.450.000;2,8;Halten;Gut;5;Computer;06.08.2025
N. Collins;Abwehr;Eintracht Frankfurt;72;2.140.000;2.150.000;3,1;Halten;Gut;2;Computer;06.08.2025
Kücüksahin;Mittelfeld;FC Augsburg;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;06.08.2025
Terrier;Stürmer;Bayer 04 Leverkusen;49;2.060.000;2.090.000;3,5;Kaufen;Gut;5;Computer;06.08.2025
Koulierakis;Abwehr;VfL Wolfsburg;102;2.900.000;2.800.000;3,4;Halten;Gut;2;Computer;06.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;610.000;610.000;2,5;Halten;Gut;5;Computer;06.08.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;23;280.000;280.000;4,6;Halten;Gut;0;Computer;06.08.2025
Irié;Stürmer;Sport-Club Freiburg;0;1.560.000;1.520.000;0,0;Halten;Schlecht;0;Computer;06.08.2025
Meiser;Abwehr;FC Augsburg;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;06.08.2025
Tah;Abwehr;FC Bayern München;153;7.500.000;7.490.000;4,7;Halten;Schlecht;1;Computer;07.08.2025
Grillitsch;Abwehr;TSG Hoffenheim;27;470.000;470.000;3,4;Halten;Gut;0;Computer;07.08.2025
Burkardt;Stürmer;Eintracht Frankfurt;184;11.080.000;11.070.000;6,6;Halten;Gut;2;Computer;07.08.2025
Pieper;Abwehr;SV Werder Bremen;74;1.670.000;1.700.000;3,4;Halten;Gut;0;Computer;07.08.2025
Keller;Abwehr;1.FC Heidenheim;11;190.000;190.000;2,2;Kaufen;Gut;2;Computer;07.08.2025
Wanner;Mittelfeld;FC Bayern München;68;2.930.000;2.940.000;2,3;Halten;Durchschnittlich;0;Computer;07.08.2025
Kemlein;Mittelfeld;1.FC Union Berlin;36;810.000;810.000;2,4;Halten;Gut;5;Computer;07.08.2025
Lynen;Mittelfeld;SV Werder Bremen;91;2.440.000;2.430.000;2,8;Halten;Gut;2;Computer;07.08.2025
Terrier;Stürmer;Bayer 04 Leverkusen;49;1.900.000;1.920.000;3,5;Kaufen;Gut;2;Computer;07.08.2025
Chaves;Abwehr;TSG Hoffenheim;76;1.770.000;1.770.000;2,9;Halten;Gut;0;Computer;07.08.2025
Skov Olsen;Stürmer;VfL Wolfsburg;41;2.550.000;2.540.000;3,4;Halten;Gut;1;Computer;07.08.2025
Dickes;Torhüter;Hamburger SV;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;07.08.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;23;260.000;260.000;4,6;Halten;Gut;0;Computer;07.08.2025
Coulibaly;Abwehr;SV Werder Bremen;0;210.000;210.000;0,0;Halten;Schlecht;0;Computer;07.08.2025
Meiser;Abwehr;FC Augsburg;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;07.08.2025
Tah;Abwehr;FC Bayern München;153;7.560.000;7.590.000;4,7;Halten;Schlecht;1;Computer;08.08.2025
Burkardt;Stürmer;Eintracht Frankfurt;184;11.330.000;11.230.000;6,6;Halten;Gut;5;Computer;08.08.2025
Haidara;Mittelfeld;RB Leipzig;74;1.310.000;1.300.000;2,7;Halten;Gut;5;Computer;08.08.2025
Pieper;Abwehr;SV Werder Bremen;74;1.670.000;1.680.000;3,4;Halten;Gut;2;Computer;08.08.2025
Wanner;Mittelfeld;FC Bayern München;68;2.860.000;2.860.000;2,3;Halten;Durchschnittlich;5;Computer;08.08.2025
Topp;Stürmer;SV Werder Bremen;47;2.980.000;3.020.000;3,1;Halten;Gut;4;Computer;08.08.2025
Kemlein;Mittelfeld;1.FC Union Berlin;36;830.000;830.000;2,4;Halten;Gut;5;Computer;08.08.2025
Terrier;Stürmer;Bayer 04 Leverkusen;49;1.780.000;1.780.000;3,5;Kaufen;Gut;5;Computer;08.08.2025
Chaves;Abwehr;TSG Hoffenheim;76;1.810.000;1.800.000;2,9;Halten;Gut;2;Computer;08.08.2025
Skov Olsen;Stürmer;VfL Wolfsburg;41;2.660.000;2.660.000;3,4;Halten;Gut;4;Computer;08.08.2025
Dickes;Torhüter;Hamburger SV;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;08.08.2025
Gomis;Stürmer;RB Leipzig;17;870.000;880.000;2,4;Halten;Gut;2;Computer;08.08.2025
Pereira Cardoso;Torhüter;Borussia Mönchengladbach;23;260.000;260.000;4,6;Halten;Gut;0;Computer;08.08.2025
Rondić;Stürmer;1. FC Köln;0;350.000;350.000;0,0;Halten;Schlecht;0;Computer;08.08.2025
Coulibaly;Abwehr;SV Werder Bremen;0;220.000;220.000;0,0;Halten;Schlecht;0;Computer;08.08.2025
Tah;Abwehr;FC Bayern München;153;7.770.000;7.720.000;4,7;Halten;Schlecht;1;Computer;09.08.2025
Dahoud;Mittelfeld;Eintracht Frankfurt;27;370.000;370.000;3,4;Halten;Gut;5;Computer;09.08.2025
Bénes;Mittelfeld;1.FC Union Berlin;62;1.280.000;1.300.000;2,8;Halten;Gut;5;Computer;09.08.2025
Baumgartner;Mittelfeld;RB Leipzig;87;2.540.000;2.540.000;2,8;Halten;Gut;5;Computer;09.08.2025
Haidara;Mittelfeld;RB Leipzig;74;1.290.000;1.280.000;2,7;Halten;Gut;5;Computer;09.08.2025
F. Nmecha;Mittelfeld;Borussia Dortmund;118;6.180.000;6.230.000;4,5;Halten;Gut;5;Computer;09.08.2025
Rothe;Abwehr;1.FC Union Berlin;72;2.490.000;2.490.000;2,8;Halten;Durchschnittlich;1;Computer;09.08.2025
Topp;Stürmer;SV Werder Bremen;47;3.030.000;3.160.000;3,1;Halten;Gut;2;Computer;09.08.2025
Deman;Mittelfeld;SV Werder Bremen;10;230.000;230.000;1,7;Halten;Gut;5;Computer;09.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.470.000;1.450.000;2,1;Halten;Durchschnittlich;0;Computer;09.08.2025
Gomis;Stürmer;RB Leipzig;17;850.000;860.000;2,4;Halten;Gut;1;Computer;09.08.2025
Masanka Bungi;Mittelfeld;RB Leipzig;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;09.08.2025
Rondić;Stürmer;1. FC Köln;0;340.000;340.000;0,0;Halten;Schlecht;0;Computer;09.08.2025
Diks;Abwehr;Borussia Mönchengladbach;0;2.940.000;2.950.000;0,0;Halten;Schlecht;0;Computer;09.08.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;0;3.400.000;3.380.000;0,0;Halten;Schlecht;0;Computer;09.08.2025
Trapp;Torhüter;Eintracht Frankfurt;84;2.270.000;2.270.000;3,2;Halten;Durchschnittlich;3;Computer;10.08.2025
Dahoud;Mittelfeld;Eintracht Frankfurt;27;350.000;350.000;3,4;Halten;Gut;5;Computer;10.08.2025
Bénes;Mittelfeld;1.FC Union Berlin;62;1.310.000;1.330.000;2,8;Halten;Gut;5;Computer;10.08.2025
Baumgartner;Mittelfeld;RB Leipzig;87;2.590.000;2.580.000;2,8;Halten;Gut;5;Computer;10.08.2025
F. Nmecha;Mittelfeld;Borussia Dortmund;118;6.100.000;6.180.000;4,5;Halten;Gut;5;Computer;10.08.2025
Rothe;Abwehr;1.FC Union Berlin;72;2.530.000;2.500.000;2,8;Halten;Durchschnittlich;1;Computer;10.08.2025
Deman;Mittelfeld;SV Werder Bremen;10;260.000;260.000;1,7;Halten;Gut;5;Computer;10.08.2025
Fenyő;Mittelfeld;Eintracht Frankfurt;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;10.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.390.000;1.380.000;2,1;Halten;Durchschnittlich;0;Computer;10.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;750.000;750.000;2,5;Halten;Gut;5;Computer;10.08.2025
Gomis;Stürmer;RB Leipzig;17;810.000;820.000;2,4;Halten;Gut;1;Computer;10.08.2025
Masanka Bungi;Mittelfeld;RB Leipzig;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;10.08.2025
Rondić;Stürmer;1. FC Köln;0;330.000;330.000;0,0;Halten;Schlecht;0;Computer;10.08.2025
Diks;Abwehr;Borussia Mönchengladbach;0;2.940.000;2.920.000;0,0;Halten;Schlecht;0;Computer;10.08.2025
Vini Souza;Mittelfeld;VfL Wolfsburg;0;3.450.000;3.420.000;0,0;Halten;Schlecht;0;Computer;10.08.2025
Götze;Mittelfeld;Eintracht Frankfurt;95;3.250.000;3.290.000;4,0;Halten;Gut;5;Computer;11.08.2025
Trapp;Torhüter;Eintracht Frankfurt;84;2.250.000;2.220.000;3,2;Halten;Durchschnittlich;3;Computer;11.08.2025
Dahoud;Mittelfeld;Eintracht Frankfurt;27;350.000;350.000;3,4;Halten;Gut;5;Computer;11.08.2025
Klostermann;Abwehr;RB Leipzig;100;2.130.000;2.100.000;3,6;Halten;Gut;2;Computer;11.08.2025
Thielmann;Stürmer;1. FC Köln;0;2.080.000;2.110.000;2,6;Halten;Gut;2;Computer;11.08.2025
F. Nmecha;Mittelfeld;Borussia Dortmund;118;6.230.000;6.300.000;4,5;Halten;Gut;3;Computer;11.08.2025
Ostrzinski;Torhüter;Borussia Dortmund;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;11.08.2025
Mæhle;Abwehr;VfL Wolfsburg;91;2.390.000;2.400.000;3,4;Halten;Gut;2;Computer;11.08.2025
Fenyő;Mittelfeld;Eintracht Frankfurt;0;180.000;180.000;0,0;Halten;Schlecht;0;Computer;11.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.300.000;1.290.000;2,1;Halten;Durchschnittlich;0;Computer;11.08.2025
Ceesay;Stürmer;FC St. Pauli;6;340.000;340.000;1,0;Halten;Durchschnittlich;0;Computer;11.08.2025
Nordin;Mittelfeld;1. FSV Mainz 05;10;760.000;770.000;2,5;Halten;Gut;5;Computer;11.08.2025
Masanka Bungi;Mittelfeld;RB Leipzig;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;11.08.2025
M. El Mala;Stürmer;1. FC Köln;0;630.000;630.000;0,0;Halten;Schlecht;0;Computer;11.08.2025
Alfa-Ruprecht;Stürmer;Bayer 04 Leverkusen;0;2.100.000;2.050.000;0,0;Halten;Schlecht;0;Computer;11.08.2025
Götze;Mittelfeld;Eintracht Frankfurt;95;3.410.000;3.440.000;4,0;Halten;Gut;0;Computer;12.08.2025
Chandler;Mittelfeld;Eintracht Frankfurt;3;170.000;170.000;3,0;Halten;Gut;2;Computer;12.08.2025
Klostermann;Abwehr;RB Leipzig;100;2.190.000;2.160.000;3,6;Halten;Gut;0;Computer;12.08.2025
Thielmann;Stürmer;1. FC Köln;0;2.200.000;2.220.000;2,6;Halten;Gut;1;Computer;12.08.2025
Drljača;Torhüter;VfB Stuttgart;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
Ostrzinski;Torhüter;Borussia Dortmund;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
Seiwald;Mittelfeld;RB Leipzig;88;2.530.000;2.520.000;2,9;Halten;Gut;0;Computer;12.08.2025
Mæhle;Abwehr;VfL Wolfsburg;91;2.530.000;2.480.000;3,4;Halten;Gut;0;Computer;12.08.2025
Fenyő;Mittelfeld;Eintracht Frankfurt;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
Campbell;Stürmer;Borussia Dortmund;3;1.430.000;1.430.000;1,5;Halten;Durchschnittlich;0;Computer;12.08.2025
Ceesay;Stürmer;FC St. Pauli;6;340.000;340.000;1,0;Halten;Durchschnittlich;0;Computer;12.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
M. El Mala;Stürmer;1. FC Köln;0;600.000;600.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
Jóhannesson;Mittelfeld;1. FC Köln;0;3.750.000;3.770.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
Alfa-Ruprecht;Stürmer;Bayer 04 Leverkusen;0;2.000.000;1.960.000;0,0;Halten;Schlecht;0;Computer;12.08.2025
Chandler;Mittelfeld;Eintracht Frankfurt;3;170.000;170.000;3,0;Halten;Gut;0;Computer;13.08.2025
Zetterer;Torhüter;SV Werder Bremen;95;2.190.000;2.210.000;2,8;Halten;Durchschnittlich;2;Computer;13.08.2025
Kilian;Abwehr;1. FC Köln;0;170.000;170.000;0,9;Halten;Durchschnittlich;0;Computer;13.08.2025
Drljača;Torhüter;VfB Stuttgart;0;160.000;160.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
D. Nemeth;Abwehr;FC St. Pauli;77;1.770.000;1.770.000;3,2;Halten;Gut;0;Computer;13.08.2025
Seiwald;Mittelfeld;RB Leipzig;88;2.530.000;2.520.000;2,9;Halten;Gut;0;Computer;13.08.2025
Ullrich;Abwehr;Borussia Mönchengladbach;40;1.720.000;1.730.000;1,5;Halten;Schlecht;0;Computer;13.08.2025
Campbell;Stürmer;Borussia Dortmund;3;1.430.000;1.410.000;1,5;Halten;Durchschnittlich;0;Computer;13.08.2025
N. Banks;Abwehr;FC Augsburg;15;1.150.000;1.140.000;2,1;Halten;Gut;0;Computer;13.08.2025
Vidić;Mittelfeld;Borussia Mönchengladbach;0;170.000;170.000;0,0;Halten;Schlecht;0;Computer;13.08.2025
