Spieler;Link;Datum;Spielerpool
Ben Seghir;https://www.comunio.de/bundesliga/players/Ben%20Seghir-34285;14.04.2026;538.0
Bensebaini;https://www.comunio.de/bundesliga/players/Bensebaini-33167;14.04.2026;538.0
Bernardo;https://www.comunio.de/bundesliga/players/Bernardo-32693;14.04.2026;538.0
Beste;https://www.comunio.de/bundesliga/players/Beste-32961;14.04.2026;538.0
Bischof;https://www.comunio.de/bundesliga/players/Bischof-33504;14.04.2026;538.0
Bitshiabu;https://www.comunio.de/bundesliga/players/Bitshiabu-33824;14.04.2026;538.0
Bittencourt;https://www.comunio.de/bundesliga/players/Bittencourt-31932;14.04.2026;538.0
Blaswich;https://www.comunio.de/bundesliga/players/Blaswich-31827;14.04.2026;538.0
Bogdanov;https://www.comunio.de/bundesliga/players/Bogdanov-34265;14.04.2026;538.0
Bolin;https://www.comunio.de/bundesliga/players/Bolin-34342;14.04.2026;538.0
Boniface;https://www.comunio.de/bundesliga/players/Boniface-33827;14.04.2026;538.0
Bos;https://www.comunio.de/bundesliga/players/Bos-34203;14.04.2026;538.0
Bouanani;https://www.comunio.de/bundesliga/players/Bouanani-34286;14.04.2026;538.0
Bøving;https://www.comunio.de/bundesliga/players/B%C3%B8ving-34291;14.04.2026;538.0
Brandt;https://www.comunio.de/bundesliga/players/Brandt-32236;14.04.2026;538.0
Bredlow;https://www.comunio.de/bundesliga/players/Bredlow-32891;14.04.2026;538.0
Brown;https://www.comunio.de/bundesliga/players/Brown-33975;14.04.2026;538.0
Bülter;https://www.comunio.de/bundesliga/players/B%C3%BClter-33139;14.04.2026;538.0
Burcu;https://www.comunio.de/bundesliga/players/Burcu-34191;14.04.2026;538.0
Burger;https://www.comunio.de/bundesliga/players/Burger-34242;14.04.2026;538.0
Burkardt;https://www.comunio.de/bundesliga/players/Burkardt-32948;14.04.2026;538.0
Burke;https://www.comunio.de/bundesliga/players/Burke-32694;14.04.2026;538.0
Busch;https://www.comunio.de/bundesliga/players/Busch-32380;14.04.2026;538.0
C. Conteh;https://www.comunio.de/bundesliga/players/C.%20Conteh-34329;14.04.2026;538.0
Caci;https://www.comunio.de/bundesliga/players/Caci-33577;14.04.2026;538.0
Campbell;https://www.comunio.de/bundesliga/players/Campbell-34016;14.04.2026;538.0
Can;https://www.comunio.de/bundesliga/players/Can-31935;14.04.2026;538.0
Capaldo;https://www.comunio.de/bundesliga/players/Capaldo-34233;14.04.2026;538.0
Cardozo;https://www.comunio.de/bundesliga/players/Cardozo-34350;14.04.2026;538.0
Castro-Montes;https://www.comunio.de/bundesliga/players/Castro-Montes-34287;14.04.2026;538.0
Castrop;https://www.comunio.de/bundesliga/players/Castrop-34186;14.04.2026;538.0
Ćatović;https://www.comunio.de/bundesliga/players/%C4%86atovi%C4%87-34262;14.04.2026;538.0
Ceesay;https://www.comunio.de/bundesliga/players/Ceesay-34081;14.04.2026;538.0
Chabot;https://www.comunio.de/bundesliga/players/Chabot-33552;14.04.2026;538.0
Chaïbi;https://www.comunio.de/bundesliga/players/Cha%C3%AFbi-33856;14.04.2026;538.0
Chandler;https://www.comunio.de/bundesliga/players/Chandler-31743;14.04.2026;538.0
Chaves;https://www.comunio.de/bundesliga/players/Chaves-34062;14.04.2026;538.0
Chávez;https://www.comunio.de/bundesliga/players/Ch%C3%A1vez-34328;14.04.2026;538.0
Chema Andrés;https://www.comunio.de/bundesliga/players/Chema%20Andr%C3%A9s-34253;14.04.2026;538.0
Chiarodia;https://www.comunio.de/bundesliga/players/Chiarodia-33601;14.04.2026;538.0
Chukwuemeka;https://www.comunio.de/bundesliga/players/Chukwuemeka-34117;14.04.2026;538.0
Claude-Maurice;https://www.comunio.de/bundesliga/players/Claude-Maurice-34063;14.04.2026;538.0
Cleiton;https://www.comunio.de/bundesliga/players/Cleiton-34315;14.04.2026;538.0
Coufal;https://www.comunio.de/bundesliga/players/Coufal-34257;14.04.2026;538.0
Coulibaly;https://www.comunio.de/bundesliga/players/Coulibaly-34239;14.04.2026;538.0
Couto;https://www.comunio.de/bundesliga/players/Couto-34033;14.04.2026;538.0
Čović;https://www.comunio.de/bundesliga/players/%C4%8Covi%C4%87-34091;14.04.2026;538.0
Culbreath;https://www.comunio.de/bundesliga/players/Culbreath-34311;14.04.2026;538.0
D. Klein;https://www.comunio.de/bundesliga/players/D.%20Klein-33298;14.04.2026;538.0
D. Nemeth;https://www.comunio.de/bundesliga/players/D.%20Nemeth-33443;14.04.2026;538.0
da Costa;https://www.comunio.de/bundesliga/players/da%20Costa-31762;14.04.2026;538.0
Daghim;https://www.comunio.de/bundesliga/players/Daghim-34294;14.04.2026;538.0
