Manager;Teamwert;Gesamtpunkte;letzte Punkte;Datum
Christoph;66950000;621;64;09.12.2025
Dominik;88440000;593;58;09.12.2025
Alfons;75750000;557;42;09.12.2025
Andreas;61500000;553;47;09.12.2025
Nico;48170000;481;37;09.12.2025
Christian;39530000;474;36;09.12.2025
Pascal;51300000;401;26;09.12.2025
Thomas;99990000;688;78;10.12.2025
Christoph;66510000;621;64;10.12.2025
Dominik;81210000;593;58;10.12.2025
Alfons;77190000;557;42;10.12.2025
Andreas;60980000;553;47;10.12.2025
Nico;52890000;481;37;10.12.2025
Christian;40420000;474;36;10.12.2025
Pascal;50950000;401;26;10.12.2025
