Manager;Teamwert;Gesamtpunkte;letzte Punkte;Datum
Alfons;47020000;0;0;19.07.2025
Pascal;45740000;0;0;19.07.2025
Christoph;42470000;0;0;19.07.2025
Christian;33230000;0;0;19.07.2025
Thomas;58900000;0;0;20.07.2025
Nico;51880000;0;0;20.07.2025
Andreas;46700000;0;0;20.07.2025
Alfons;45540000;0;0;20.07.2025
Pascal;45270000;0;0;20.07.2025
Dominik;43590000;0;0;20.07.2025
Christoph;42850000;0;0;20.07.2025
Christian;32760000;0;0;20.07.2025
Thomas;59850000;0;0;21.07.2025
Nico;52440000;0;0;21.07.2025
Dominik;47860000;0;0;21.07.2025
Andreas;47600000;0;0;21.07.2025
Pascal;46480000;0;0;21.07.2025
Alfons;46130000;0;0;21.07.2025
Christoph;37720000;0;0;21.07.2025
Christian;32660000;0;0;21.07.2025
Thomas;58440000;0;0;22.07.2025
Nico;51170000;0;0;22.07.2025
Andreas;47380000;0;0;22.07.2025
Dominik;47370000;0;0;22.07.2025
Alfons;45580000;0;0;22.07.2025
Pascal;45100000;0;0;22.07.2025
Christoph;44420000;0;0;22.07.2025
Christian;32400000;0;0;22.07.2025
Thomas;58880000;0;0;23.07.2025
Nico;53020000;0;0;23.07.2025
Dominik;47730000;0;0;23.07.2025
Andreas;47560000;0;0;23.07.2025
Pascal;46740000;0;0;23.07.2025
Alfons;45460000;0;0;23.07.2025
Christoph;45220000;0;0;23.07.2025
Christian;32180000;0;0;23.07.2025
Thomas;59520000;0;0;24.07.2025
Nico;52540000;0;0;24.07.2025
Andreas;48060000;0;0;24.07.2025
Dominik;48000000;0;0;24.07.2025
Pascal;46710000;0;0;24.07.2025
Alfons;44190000;0;0;24.07.2025
Christoph;38710000;0;0;24.07.2025
Christian;23870000;0;0;24.07.2025
Thomas;61820000;0;0;25.07.2025
Nico;52180000;0;0;25.07.2025
Andreas;48320000;0;0;25.07.2025
Pascal;47230000;0;0;25.07.2025
Alfons;44960000;0;0;25.07.2025
Dominik;43430000;0;0;25.07.2025
Christoph;39280000;0;0;25.07.2025
Christian;24390000;0;0;25.07.2025
Thomas;61460000;0;0;26.07.2025
Nico;52280000;0;0;26.07.2025
Andreas;48540000;0;0;26.07.2025
Pascal;46920000;0;0;26.07.2025
Alfons;44710000;0;0;26.07.2025
Christoph;43220000;0;0;26.07.2025
Dominik;42320000;0;0;26.07.2025
Christian;24230000;0;0;26.07.2025
Thomas;61340000;0;0;27.07.2025
Nico;53750000;0;0;27.07.2025
Pascal;47520000;0;0;27.07.2025
Andreas;45580000;0;0;27.07.2025
Alfons;44900000;0;0;27.07.2025
Christoph;44490000;0;0;27.07.2025
Dominik;42460000;0;0;27.07.2025
Christian;31450000;0;0;27.07.2025
Thomas;56380000;0;0;28.07.2025
Nico;53880000;0;0;28.07.2025
Pascal;47230000;0;0;28.07.2025
Andreas;45580000;0;0;28.07.2025
Alfons;45070000;0;0;28.07.2025
Christoph;44170000;0;0;28.07.2025
Christian;31150000;0;0;28.07.2025
Dominik;26220000;0;0;28.07.2025
Nico;53970000;0;0;29.07.2025
Thomas;52620000;0;0;29.07.2025
Pascal;47490000;0;0;29.07.2025
Andreas;46410000;0;0;29.07.2025
Alfons;45690000;0;0;29.07.2025
Christoph;45270000;0;0;29.07.2025
Christian;31660000;0;0;29.07.2025
Dominik;26810000;0;0;29.07.2025
Thomas;59180000;0;0;30.07.2025
Nico;53140000;0;0;30.07.2025
Andreas;47490000;0;0;30.07.2025
Alfons;45460000;0;0;30.07.2025
Christoph;44680000;0;0;30.07.2025
Pascal;39300000;0;0;30.07.2025
Dominik;36970000;0;0;30.07.2025
Christian;31320000;0;0;30.07.2025
Thomas;63290000;0;0;31.07.2025
Nico;54740000;0;0;31.07.2025
Andreas;48500000;0;0;31.07.2025
Dominik;46480000;0;0;31.07.2025
Alfons;45950000;0;0;31.07.2025
Christoph;45290000;0;0;31.07.2025
Pascal;40410000;0;0;31.07.2025
Christian;31650000;0;0;31.07.2025
Thomas;62040000;0;0;01.08.2025
Nico;55220000;0;0;01.08.2025
Dominik;49250000;0;0;01.08.2025
Andreas;48330000;0;0;01.08.2025
Alfons;46750000;0;0;01.08.2025
Christoph;46080000;0;0;01.08.2025
Pascal;40440000;0;0;01.08.2025
Christian;31290000;0;0;01.08.2025
Thomas;61220000;0;0;02.08.2025
Nico;55960000;0;0;02.08.2025
Andreas;50430000;0;0;02.08.2025
Christoph;49540000;0;0;02.08.2025
Alfons;47560000;0;0;02.08.2025
Pascal;42020000;0;0;02.08.2025
Dominik;33830000;0;0;02.08.2025
Christian;32090000;0;0;02.08.2025
Thomas;60410000;0;0;03.08.2025
Andreas;51250000;0;0;03.08.2025
Christoph;50260000;0;0;03.08.2025
Nico;50160000;0;0;03.08.2025
Alfons;49600000;0;0;03.08.2025
Pascal;42840000;0;0;03.08.2025
Dominik;38500000;0;0;03.08.2025
Christian;31850000;0;0;03.08.2025
Thomas;64690000;0;0;04.08.2025
Alfons;51520000;0;0;04.08.2025
Andreas;51110000;0;0;04.08.2025
Nico;49280000;0;0;04.08.2025
Christoph;45910000;0;0;04.08.2025
Pascal;43820000;0;0;04.08.2025
Dominik;40970000;0;0;04.08.2025
Christian;32160000;0;0;04.08.2025
Thomas;64700000;0;0;05.08.2025
Nico;54400000;0;0;05.08.2025
Andreas;50500000;0;0;05.08.2025
Alfons;50380000;0;0;05.08.2025
Christoph;46210000;0;0;05.08.2025
Pascal;44510000;0;0;05.08.2025
Dominik;38270000;0;0;05.08.2025
Christian;31920000;0;0;05.08.2025
Thomas;66940000;0;0;06.08.2025
Nico;55700000;0;0;06.08.2025
Alfons;52500000;0;0;06.08.2025
Andreas;51290000;0;0;06.08.2025
Christoph;45840000;0;0;06.08.2025
Pascal;45210000;0;0;06.08.2025
Christian;32430000;0;0;06.08.2025
Dominik;30180000;0;0;06.08.2025
Thomas;70110000;0;0;07.08.2025
Alfons;54590000;0;0;07.08.2025
Nico;53930000;0;0;07.08.2025
Andreas;51620000;0;0;07.08.2025
Christoph;48540000;0;0;07.08.2025
Pascal;45140000;0;0;07.08.2025
Dominik;41090000;0;0;07.08.2025
Christian;32440000;0;0;07.08.2025
Thomas;71120000;0;0;08.08.2025
Nico;55300000;0;0;08.08.2025
Alfons;54950000;0;0;08.08.2025
Andreas;51960000;0;0;08.08.2025
Christoph;47190000;0;0;08.08.2025
Pascal;45940000;0;0;08.08.2025
Christian;33390000;0;0;08.08.2025
Dominik;31320000;0;0;08.08.2025
Thomas;70720000;0;0;09.08.2025
Christoph;59450000;0;0;09.08.2025
Alfons;55570000;0;0;09.08.2025
Nico;51510000;0;0;09.08.2025
Andreas;50790000;0;0;09.08.2025
Pascal;44850000;0;0;09.08.2025
Christian;33990000;0;0;09.08.2025
Dominik;31610000;0;0;09.08.2025
Thomas;72150000;0;0;10.08.2025
Christoph;56020000;0;0;10.08.2025
Alfons;55980000;0;0;10.08.2025
Pascal;52950000;0;0;10.08.2025
Nico;52270000;0;0;10.08.2025
Andreas;51950000;0;0;10.08.2025
Dominik;34730000;0;0;10.08.2025
Christian;34160000;0;0;10.08.2025
Thomas;63000000;0;0;11.08.2025
Christoph;59090000;0;0;11.08.2025
Pascal;53250000;0;0;11.08.2025
Andreas;52640000;0;0;11.08.2025
Alfons;52400000;0;0;11.08.2025
Nico;52210000;0;0;11.08.2025
Dominik;39760000;0;0;11.08.2025
Christian;34480000;0;0;11.08.2025
Thomas;58070000;0;0;12.08.2025
Alfons;55370000;0;0;12.08.2025
Andreas;52020000;0;0;12.08.2025
Nico;51470000;0;0;12.08.2025
Christoph;46340000;0;0;12.08.2025
Pascal;45770000;0;0;12.08.2025
Dominik;43080000;0;0;12.08.2025
Christian;35190000;0;0;12.08.2025
Thomas;61520000;0;0;13.08.2025
Alfons;55620000;0;0;13.08.2025
Nico;52320000;0;0;13.08.2025
Andreas;52170000;0;0;13.08.2025
Dominik;46330000;0;0;13.08.2025
Christoph;46070000;0;0;13.08.2025
Pascal;45260000;0;0;13.08.2025
Christian;36670000;0;0;13.08.2025
Thomas;60180000;0;0;14.08.2025
Alfons;56230000;0;0;14.08.2025
Andreas;52440000;0;0;14.08.2025
Nico;47010000;0;0;14.08.2025
Christoph;46910000;0;0;14.08.2025
Pascal;45330000;0;0;14.08.2025
Dominik;43800000;0;0;14.08.2025
Christian;36650000;0;0;14.08.2025
Thomas;56300000;0;0;15.08.2025
Alfons;56220000;0;0;15.08.2025
Andreas;52970000;0;0;15.08.2025
Dominik;47610000;0;0;15.08.2025
Christoph;47320000;0;0;15.08.2025
Nico;47320000;0;0;15.08.2025
Pascal;45530000;0;0;15.08.2025
Christian;36810000;0;0;15.08.2025
Alfons;58510000;0;0;16.08.2025
Thomas;56140000;0;0;16.08.2025
Christoph;51350000;0;0;16.08.2025
Andreas;49480000;0;0;16.08.2025
Nico;46750000;0;0;16.08.2025
Dominik;45210000;0;0;16.08.2025
Pascal;45190000;0;0;16.08.2025
Christian;37310000;0;0;16.08.2025
Thomas;62690000;0;0;17.08.2025
Alfons;58590000;0;0;17.08.2025
Christoph;51650000;0;0;17.08.2025
Andreas;49410000;0;0;17.08.2025
Nico;46900000;0;0;17.08.2025
Dominik;44960000;0;0;17.08.2025
Pascal;44820000;0;0;17.08.2025
Christian;37150000;0;0;17.08.2025
Thomas;64300000;0;0;18.08.2025
Alfons;57740000;0;0;18.08.2025
Christoph;52250000;0;0;18.08.2025
Andreas;51070000;0;0;18.08.2025
Nico;48340000;0;0;18.08.2025
Dominik;46130000;0;0;18.08.2025
Pascal;44790000;0;0;18.08.2025
Christian;38030000;0;0;18.08.2025
Thomas;64800000;0;0;19.08.2025
Alfons;57600000;0;0;19.08.2025
Dominik;52930000;0;0;19.08.2025
Andreas;51600000;0;0;19.08.2025
Christoph;49420000;0;0;19.08.2025
